Indicator,Disaggregations,Number of disaggregations
#1-1-1,"OBS_STATUS, UNIT_MULT, URBANISATION",3
#1-2-1,"OBS_STATUS, UNIT_MULT, URBANISATION",3
#1-2-2,"OBS_STATUS, UNIT_MULT, URBANISATION",3
#1-3-1,"OBS_STATUS, UNIT_MULT, SEX",3
#1-4-1,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION",4
#1-4-2,"OBS_STATUS, UNIT_MULT",2
#1-a-2,"OBS_STATUS, UNIT_MULT",2
#10-1-1,"OBS_STATUS, UNIT_MULT",2
#10-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, DISABILITY_STATUS",4
#10-5-1,"OBS_STATUS, UNIT_MULT",2
#10-7-1,"OBS_STATUS, UNIT_MULT",2
#10-b-1,"OBS_STATUS, UNIT_MULT",2
#11-4-1,"OBS_STATUS, UNIT_MULT",2
#13-1-1,"OBS_STATUS, UNIT_MULT",2
#15-1-1,"OBS_STATUS, UNIT_MULT",2
#15-5-1,"OBS_STATUS, UNIT_MULT",2
#16-1-1,"OBS_STATUS, UNIT_MULT, SEX, TIME_DETAIL, COMPOSITE_BREAKDOWN, AGE",6
#16-1-3,"OBS_STATUS, UNIT_MULT, SEX, TIME_DETAIL",4
#16-1-4,"OBS_STATUS, UNIT_MULT, SEX, TIME_DETAIL",4
#16-2-1,"OBS_STATUS, UNIT_MULT, SEX, TIME_DETAIL, AGE",5
#16-2-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#16-2-3,"OBS_STATUS, UNIT_MULT, SEX, TIME_DETAIL, AGE",5
#16-3-1,"OBS_STATUS, UNIT_MULT, SEX, TIME_DETAIL",4
#16-3-2,"OBS_STATUS, UNIT_MULT",2
#16-5-1,"OBS_STATUS, UNIT_MULT, SEX, TIME_DETAIL",4
#16-6-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, COMPOSITE_BREAKDOWN",4
#16-6-2,"OBS_STATUS, UNIT_MULT, SEX, TIME_DETAIL",4
#16-7-1,"OBS_STATUS, UNIT_MULT, SEX, TIME_DETAIL, COMPOSITE_BREAKDOWN, OCCUPATION",6
#16-7-2,"OBS_STATUS, UNIT_MULT, SEX, TIME_DETAIL",4
#16-9-1,"OBS_STATUS, UNIT_MULT, SEX, TIME_DETAIL, URBANISATION",5
#16-b-1,"OBS_STATUS, UNIT_MULT, SEX, TIME_DETAIL, URBANISATION",5
#17-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#17-1-2,"OBS_STATUS, UNIT_MULT",2
