Indicator,Disaggregation combinations using this value
#1-1-1,3
#1-2-1,3
#1-2-2,3
#1-3-1,6
#1-4-1,10
#1-4-2,3
#1-5-1,1
#1-a-2,9
#10-1-1,1
#10-2-1,2
#10-5-1,7
#10-7-1,1
#10-7-2,6
#10-a-1,7
#10-b-1,1
#11-3-1,1
#11-4-1,5
#11-6-2,1
#12-1-1,2
#12-4-1,5
#12-b-1,1
#13-1-1,1
#15-1-1,1
#15-2-1,4
#15-5-1,1
#15-6-1,5
#15-7-1,1
#15-8-1,1
#15-9-1,2
#16-1-1,10
#16-1-3,8
#16-1-4,5
#16-10-2,1
#16-2-1,5
#16-2-2,3
#16-2-3,4
#16-3-1,3
#16-3-2,1
#16-5-1,3
#16-6-1,53
#16-6-2,3
#16-7-1,18
#16-7-2,6
#16-9-1,4
#16-b-1,5
#17-1-1,1
#17-1-2,1
#17-11-1,4
#17-15-1,2
#17-16-1,1
#17-18-2,1
#17-18-3,5
#17-19-1,1
#17-19-2,1
#17-3-2,1
#17-4-1,1
#17-6-1,1
#17-8-1,4
#2-1-2,2
#2-2-1,3
#2-2-2,6
#2-2-3,9
#2-3-1,2
#2-3-2,1
#2-5-1,3
#2-5-2,1
#2-a-1,2
#2-a-2,1
#3-1-1,2
#3-1-2,1
#3-2-1,10
#3-2-2,5
#3-3-1,1
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-4-1,1
#3-4-2,2
#3-6-1,3
#3-7-1,1
#3-7-2,3
#3-8-1,1
#3-8-2,1
#3-9-2,1
#3-9-3,1
#3-a-1,3
#3-b-1,6
#3-c-1,2
#4-1-1,24
#4-1-2,6
#4-2-1,3
#4-2-2,1
#4-3-1,3
#4-4-1,9
#4-6-1,6
#4-a-1,12
#4-c-1,3
#5-1-1,4
#5-2-1,4
#5-2-2,2
#5-3-1,6
#5-3-2,3
#5-4-1,6
#5-5-1,2
#5-5-2,4
#5-6-1,2
#5-a-1,13
#5-a-2,1
#5-b-1,3
#5-c-1,1
#6-1-1,3
#6-2-1,8
#6-3-1,3
#6-4-1,1
#6-4-2,1
#6-5-1,1
#6-5-2,1
#6-6-1,2
#6-b-1,2
#7-1-1,3
#7-1-2,3
#7-2-1,1
#7-3-1,1
#8-1-1,1
#8-10-1,4
#8-10-2,4
#8-2-1,1
#8-3-1,3
#8-5-1,12
#8-5-2,12
#8-6-1,5
#8-7-1,6
#8-8-1,5
#8-8-2,1
#8-9-1,1
#8-b-1,1
#9-1-1,1
#9-1-2,15
#9-2-1,2
#9-2-2,6
#9-3-1,1
#9-5-1,1
#9-5-2,1
#9-a-1,1
#9-b-1,1
#9-c-1,3
