Indicator,Disaggregation combinations using this value
#1-1-1,3
#1-2-1,3
#1-2-2,3
#1-3-1,6
#1-4-1,10
#1-4-2,1
#1-a-2,3
#2-1-2,2
#2-2-1,3
#2-2-2,6
#2-2-3,3
#2-3-2,1
#2-5-1,2
#2-5-2,1
#2-a-1,2
#2-a-2,1
#3-1-1,1
#3-1-2,1
#3-2-2,5
#3-3-1,1
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-4-1,1
#3-4-2,1
#3-6-1,3
#3-7-1,1
#3-7-2,2
#3-8-1,1
#3-8-2,1
#3-9-2,1
#3-9-3,1
#3-a-1,3
#3-b-1,3
#4-1-1,24
#4-2-1,3
#4-2-2,1
#4-3-1,3
#4-4-1,9
#4-6-1,3
#4-a-1,9
#4-c-1,3
#5-1-1,1
#5-2-1,4
#5-2-2,1
#5-3-1,2
#5-3-2,1
#5-4-1,3
#5-5-1,2
#5-5-2,2
#5-6-1,1
#5-a-1,8
#5-b-1,3
#6-1-1,1
#6-2-1,2
#6-3-1,1
#6-4-2,1
#6-5-1,1
#6-5-2,1
