Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2013,Normal value,Units,Uganda National Household Survey,Proportion of population living below the national poverty line [1.2.1],,,Percent,19.7
2017,Normal value,Units,Uganda National Household Survey,Proportion of population living below the national poverty line [1.2.1],,,Percent,21.4
2020,Normal value,Units,Uganda National Household Survey,Proportion of population living below the national poverty line [1.2.1],,,Percent,20.3
2024,Normal value,Units,Uganda National Household Survey,Proportion of population living below the national poverty line [1.2.1],,,Percent,16.1
2013,Normal value,Units,Uganda National Household Survey,Proportion of population living below the national poverty line [1.2.1],,Rural,Percent,22.8
2017,Normal value,Units,Uganda National Household Survey,Proportion of population living below the national poverty line [1.2.1],,Rural,Percent,25.0
2020,Normal value,Units,Uganda National Household Survey,Proportion of population living below the national poverty line [1.2.1],,Rural,Percent,23.4
2024,Normal value,Units,Uganda National Household Survey,Proportion of population living below the national poverty line [1.2.1],,Rural,Percent,19.4
2013,Normal value,Units,Uganda National Household Survey,Proportion of population living below the national poverty line [1.2.1],,Urban,Percent,9.3
2017,Normal value,Units,Uganda National Household Survey,Proportion of population living below the national poverty line [1.2.1],,Urban,Percent,9.6
2020,Normal value,Units,Uganda National Household Survey,Proportion of population living below the national poverty line [1.2.1],,Urban,Percent,11.7
2024,Normal value,Units,Uganda National Household Survey,Proportion of population living below the national poverty line [1.2.1],,Urban,Percent,10.3
