Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2017,Normal value,Units,MGLSD,Proportion of population covered by at least one social protection benefit [1.3.1],,,Percent,2.0
2020,Normal value,Units,MGLSD,Proportion of population covered by at least one social protection benefit [1.3.1],,,Percent,7.5
2015,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Percent,1.5
2016,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Percent,1.9
2017,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Percent,2.1
2018,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Percent,2.0
2019,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Percent,2.1
2020,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Percent,2.5
2015,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Female,Percent,1.7
2016,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Female,Percent,2.5
2017,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Female,Percent,2.5
2018,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Female,Percent,2.5
2019,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Female,Percent,2.4
2020,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Female,Percent,2.8
2015,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Male,Percent,1.2
2016,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Male,Percent,1.2
2017,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Male,Percent,1.7
2018,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Male,Percent,1.4
2019,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Male,Percent,1.6
2020,Normal value,Units,MGLSD,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,Male,Percent,1.8
2017,Normal value,Units,MGLSD,Proportion of population covered by social insurance programs [1.3.1],,,Percent,5.0
2020,Normal value,Units,MGLSD,Proportion of population covered by social insurance programs [1.3.1],,,Percent,7.5
2017,Normal value,Units,MGLSD,Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],,,Percent,0.5
2020,Normal value,Units,MGLSD,Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],,,Percent,0.7
