Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Education level,UNIT_MEASURE,Value
2006,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,16.351403036332265
2009,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,16.266607399976465
2010,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,16.50797072993497
2011,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,12.713666940422703
2012,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,14.725837355919497
2013,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,17.19145971379352
2014,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,15.926172821111663
2015,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,14.240282632997248
2016,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,15.311182854482665
2017,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,14.362101841123726
2018,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,15.691477451951013
2019,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,13.592713381579808
2020,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,13.024435721364684
2021,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,11.8896110954963
2022,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,13.073629925656384
2023,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,12.51430364749956
2024,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,13.843903452486323
2025,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,,Percent,10.69171252551554
2006,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,7.033629602988014
2009,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,6.560936634864858
2010,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,6.260069297274475
2011,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,5.441446799490843
2012,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,6.883462894729584
2013,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,6.650846281753539
2014,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,6.428973996702604
2015,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,5.657319728535548
2016,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,6.16337999938845
2017,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,5.1234992344376336
2018,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,4.901363373179059
2019,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,4.864279706879871
2020,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,4.263768222580806
2021,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,3.696255585204828
2022,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,4.281953589590268
2023,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,4.753499619466972
2024,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,5.534706347732294
2025,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Primary education or less,Percent,3.5203189078659056
2006,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Secondary education (lower and upper secondary education),Percent,2.9467754603595417
2009,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Secondary education (lower and upper secondary education),Percent,3.117846089289331
2010,Normal value,Units,GFS (Administrative data),"""Proportion of total government spending on essential services",,Secondary education (lower and upper secondary education),Percent,3.6265276096621633
