Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Age,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"victims of intentional homicide per 100,000 population","Per 100,000 population",2020,11.8
2016,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"victims of intentional homicide per 100,000 population","Per 100,000 population",2020,19.4
2017,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"victims of intentional homicide per 100,000 population","Per 100,000 population",2020,12.9
2018,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"victims of intentional homicide per 100,000 population","Per 100,000 population",2020,12.2
2019,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"victims of intentional homicide per 100,000 population","Per 100,000 population",2020,12.2
2020,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"victims of intentional homicide per 100,000 population","Per 100,000 population",2020,12.5
2015,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"victims of intentional homicide per 100,000 population","Per 100,000 population",2020,2.3
2016,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"victims of intentional homicide per 100,000 population","Per 100,000 population",2020,12.1
2017,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"victims of intentional homicide per 100,000 population","Per 100,000 population",2020,4.9
2018,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"victims of intentional homicide per 100,000 population","Per 100,000 population",2020,4.6
2019,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"victims of intentional homicide per 100,000 population","Per 100,000 population",2020,4.6
2020,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,,"victims of intentional homicide per 100,000 population","Per 100,000 population",2020,5.5
2015,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,18 years old and over,,Number,2020,188.0
2016,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,18 years old and over,,Number,2020,733.0
2017,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,18 years old and over,,Number,2020,738.0
2018,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,18 years old and over,,Number,2020,674.0
2019,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,18 years old and over,,Number,2020,717.0
2020,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,18 years old and over,,Number,2020,723.0
2015,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,under 18 years old,,Number,2020,223.0
2016,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,under 18 years old,,Number,2020,1533.0
2017,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,under 18 years old,,Number,2020,213.0
2018,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,under 18 years old,,Number,2020,239.0
2019,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,under 18 years old,,Number,2020,234.0
2020,Normal value,Units,Administrative data from UPF,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,Female,under 18 years old,,Number,2020,440.0
