Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Time period details,Value
2010,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Accountability,Percent,,98.2
2011,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Accountability,Percent,,81.4
2012,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Accountability,Percent,,56.6
2013,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Accountability,Percent,,96.0
2014,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Accountability,Percent,,102.8
2015,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Accountability,Percent,,64.1
2016,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Accountability,Percent,,77.0
2017,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Accountability,Percent,,100.0
2018,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Accountability,Percent,,102.0
2019,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Accountability,Percent,,83.0
2020,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Accountability,Percent,,95.0
2021,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Accountability,Percent,,132.0
2022,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Accountability,Percent,,107.0
2023,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Administration of justice,Percent,,91.1
2024,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Administration of justice,Percent,,89.5
2025,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Administration of justice,Percent,,96.4
2010,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Agriculture,Percent,,112.6
2011,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Agriculture,Percent,,97.3
