Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2019,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO) [17.18.3],,Score,1
2023,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO) [17.18.3],,Score,1
2024,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO) [17.18.3],,Score,1
2019,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Score,1
2020,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Score,1
2021,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Score,1
2023,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Score,1
2024,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Score,1
2023,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans with funding from others (1 = YES; 0 = NO) [17.18.3],,Score,1
2019,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],,Score,0
2020,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],,Score,0
2021,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],,Score,0
2022,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],,Score,0
2023,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],,Score,0
2024,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],,Score,1
2019,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO) [17.18.3],,Score,1
2020,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO) [17.18.3],,Score,1
2021,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO) [17.18.3],,Score,1
2022,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO) [17.18.3],,Score,1
2023,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO) [17.18.3],,Score,1
2024,Normal value,Units,PARIS21 SDG Survey,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO) [17.18.3],,Score,1
