Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Mortality rate attributed to unsafe water",,Percent,28.0
2016,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Mortality rate attributed to unsafe water",,Percent,31.0
2017,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Mortality rate attributed to unsafe water",,Percent,18.0
2018,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Mortality rate attributed to unsafe water",,Percent,16.0
2019,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Mortality rate attributed to unsafe water",,Percent,16.0
2020,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Mortality rate attributed to unsafe water",,Percent,3.5730458221024257
2021,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Mortality rate attributed to unsafe water",,Percent,2.3974967630556754
2022,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Mortality rate attributed to unsafe water",,Percent,2.536979326690954
2023,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Mortality rate attributed to unsafe water",,Percent,2.313630498268173
2024,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Mortality rate attributed to unsafe water",,Percent,2.968595041322314
