Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2006,Normal value,Units,Uganda Demographic Health Survey,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,Percent,71.5
2016,Normal value,Units,Uganda Demographic Health Survey,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,Percent,78.6
2011,Normal value,Units,Uganda Demographic Health Survey,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,,Percent,75.8
2016,Normal value,Units,Uganda Demographic Health Survey,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,,Percent,80.0
2022,Normal value,Units,Uganda Demographic Health Survey,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,,Percent,79.4
2016,Normal value,Units,Uganda Demographic Health Survey,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],,,Percent,64.3
2022,Normal value,Units,Uganda Demographic Health Survey,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],,,Percent,82.8
2006,Normal value,Units,Uganda Demographic Health Survey,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,,Percent,46.2
2011,Normal value,Units,Uganda Demographic Health Survey,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,,Percent,51.6
2016,Normal value,Units,Uganda Demographic Health Survey,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,,Percent,55.2
2022,Normal value,Units,Uganda Demographic Health Survey,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,,Percent,62.5
2016,Normal value,Units,UDHS,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,Female,Percent,35.0
2016,Normal value,Units,UDHS,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,Male,Percent,36.5
