Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Occupation,UNIT_MEASURE,Value
2020,Normal value,Units,MoH - HMIS,"""Health worker density",,Medical doctors,"Per 10,000 population",19.0
2021,Normal value,Units,MoH - HMIS,"""Health worker density",,Medical doctors,"Per 10,000 population",22.5
2022,Normal value,Units,MoH - HMIS,"""Health worker density",,Medical doctors,"Per 10,000 population",25.8
2023,Normal value,Units,MoH - HMIS,"""Health worker density",,Medical doctors,"Per 10,000 population",26.5
2024,Normal value,Units,MoH - HMIS,"""Health worker density",,Medical doctors,"Per 10,000 population",31.3
2020,Normal value,Units,MoH - HMIS,"""Health worker density",,Nursing and midwifery personnel,"Per 10,000 population",1.2
2021,Normal value,Units,MoH - HMIS,"""Health worker density",,Nursing and midwifery personnel,"Per 10,000 population",1.8
2022,Normal value,Units,MoH - HMIS,"""Health worker density",,Nursing and midwifery personnel,"Per 10,000 population",2.0
2023,Normal value,Units,MoH - HMIS,"""Health worker density",,Nursing and midwifery personnel,"Per 10,000 population",2.1
2024,Normal value,Units,MoH - HMIS,"""Health worker density",,Nursing and midwifery personnel,"Per 10,000 population",2.3
