Year,Sex,Education level,COMPOSITE_BREAKDOWN,Value
2015,,Primary three,Skill: Mathematics,71.7
2018,,Primary three,Skill: Mathematics,55.2
2015,,Primary three,Skill: Reading,60.2
2018,,Primary three,Skill: Reading,49.9
2015,,Primary six,Skill: Mathematics,52.6
2018,,Primary six,Skill: Mathematics,50.1
2015,,Primary six,Skill: Reading,51.9
2018,,Primary six,Skill: Reading,53.1
2018,,Primary seven,Skill: Mathematics,77.0
2019,,Primary seven,Skill: Mathematics,84.9
2020,,Primary seven,Skill: Mathematics,82.3
2018,,Primary seven,Skill: Reading,87.7
2019,,Primary seven,Skill: Reading,80.0
2020,,Primary seven,Skill: Reading,87.5
2019,,Senior four,Skill: Mathematics,60.7
2020,,Senior four,Skill: Mathematics,67.2
2019,,Senior four,Skill: Reading,77.2
2020,,Senior four,Skill: Reading,78.1
2015,Female,Primary three,Skill: Mathematics,70.6
2018,Female,Primary three,Skill: Mathematics,56.1
2015,Female,Primary three,Skill: Reading,61.3
2018,Female,Primary three,Skill: Reading,52.5
2015,Female,Primary six,Skill: Mathematics,48.2
2018,Female,Primary six,Skill: Mathematics,45.9
2015,Female,Primary six,Skill: Reading,52.2
2018,Female,Primary six,Skill: Reading,53.7
2018,Female,Primary seven,Skill: Mathematics,74.6
2019,Female,Primary seven,Skill: Mathematics,82.4
2020,Female,Primary seven,Skill: Mathematics,79.5
2018,Female,Primary seven,Skill: Reading,89.3
2019,Female,Primary seven,Skill: Reading,85.0
2020,Female,Primary seven,Skill: Reading,88.9
2019,Female,Senior four,Skill: Mathematics,57.8
2020,Female,Senior four,Skill: Mathematics,64.3
2019,Female,Senior four,Skill: Reading,78.4
2020,Female,Senior four,Skill: Reading,79.3
2015,Male,Primary three,Skill: Mathematics,73.0
2018,Male,Primary three,Skill: Mathematics,54.3
2015,Male,Primary three,Skill: Reading,59.0
2018,Male,Primary three,Skill: Reading,47.4
2015,Male,Primary six,Skill: Mathematics,56.9
2018,Male,Primary six,Skill: Mathematics,56.2
2015,Male,Primary six,Skill: Reading,51.6
2018,Male,Primary six,Skill: Reading,52.7
2018,Male,Primary seven,Skill: Mathematics,79.6
2019,Male,Primary seven,Skill: Mathematics,87.6
2020,Male,Primary seven,Skill: Mathematics,85.4
2018,Male,Primary seven,Skill: Reading,85.9
2019,Male,Primary seven,Skill: Reading,82.9
2020,Male,Primary seven,Skill: Reading,85.8
2019,Male,Senior four,Skill: Mathematics,63.6
2020,Male,Senior four,Skill: Mathematics,70.2
2019,Male,Senior four,Skill: Reading,76.1
2020,Male,Senior four,Skill: Reading,76.9
