Year,COMPOSITE_BREAKDOWN,Value
2016,Skill: ICT Skill: Sending e-mails with attached files,51.9
2017,Skill: ICT Skill: Sending e-mails with attached files,41.2
2016,Skill: ICT Skill: connecting and installing new devices,46.0
2017,Skill: ICT Skill: connecting and installing new devices,17.6
2016,Skill: ICT Skill: Copying or moving a file or folder,94.1
2017,Skill: ICT Skill: Copying or moving a file or folder,70.6
2016,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,80.6
2017,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,55.3
2016,Skill: ICT Skill: Writing a computer program using a specialized programming language,6.4
2017,Skill: ICT Skill: Writing a computer program using a specialized programming language,5.9
2016,Skill: ICT Skill: Creating electronic presentations with presentation software,24.7
2017,Skill: ICT Skill: Creating electronic presentations with presentation software,11.8
2016,"Skill: ICT Skill: Finding, downloading, installing and configuring software",27.8
2017,"Skill: ICT Skill: Finding, downloading, installing and configuring software",11.6
2016,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,43.2
2017,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,24.4
2016,Skill: ICT Skill: Transferring files between a computer and other devices,45.2
2017,Skill: ICT Skill: Transferring files between a computer and other devices,30.1
