Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2013,Normal value,Units,Uganda National Household Survey,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,,,Percent,81.9
2017,Normal value,Units,Uganda National Household Survey,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,,,Percent,86.4
2018,Normal value,Units,Uganda National Household Survey,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,,,Percent,87.1
2017,Normal value,Units,UNHS,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,,Skill: Functional literacy,Percent,86.4
2020,Normal value,Units,UNHS,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,,Skill: Functional literacy,Percent,87.1
2013,Normal value,Units,Uganda National Household Survey,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,Female,,Percent,79.4
2017,Normal value,Units,Uganda National Household Survey,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,Female,,Percent,86.5
2018,Normal value,Units,Uganda National Household Survey,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,Female,,Percent,87.1
2017,Normal value,Units,UNHS,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,Female,Skill: Functional literacy,Percent,86.5
2020,Normal value,Units,UNHS,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,Female,Skill: Functional literacy,Percent,87.1
2013,Normal value,Units,Uganda National Household Survey,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,Male,,Percent,84.5
2017,Normal value,Units,Uganda National Household Survey,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,Male,,Percent,86.2
2018,Normal value,Units,Uganda National Household Survey,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,Male,,Percent,87.2
2017,Normal value,Units,UNHS,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,Male,Skill: Functional literacy,Percent,86.2
2020,Normal value,Units,UNHS,Proportion of population achieving at least a fixed level of proficiency in functional skills [4.6.1],,Male,Skill: Functional literacy,Percent,87.2
