Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Education level,UNIT_MEASURE,Value
2016,Normal value,Units,Ministry of Education and Sports,"""Proportion of teachers with the minimum required qualifications",,Primary education or less,Percent,78.2
2017,Normal value,Units,Ministry of Education and Sports,"""Proportion of teachers with the minimum required qualifications",,Primary education or less,Percent,79.6
2016,Normal value,Units,Ministry of Education and Sports,"""Proportion of teachers with the minimum required qualifications",,Secondary education or above,Percent,80.9
2017,Normal value,Units,Ministry of Education and Sports,"""Proportion of teachers with the minimum required qualifications",,Secondary education or above,Percent,83.5
2016,Normal value,Units,Ministry of Education and Sports,"""Proportion of teachers with the minimum required qualifications",,Pre-primary education,Percent,55.4
2017,Normal value,Units,Ministry of Education and Sports,"""Proportion of teachers with the minimum required qualifications",,Pre-primary education,Percent,60.0
2016,Normal value,Units,MoES,"""Proportion of teachers with the minimum required qualifications",,Pre-primary education,Percent,55.4
2017,Normal value,Units,MoES,"""Proportion of teachers with the minimum required qualifications",,Pre-primary education,Percent,60.0
2016,Normal value,Units,MoES,"""Proportion of teachers with the minimum required qualifications",,Lower secondary education,Percent,78.2
2017,Normal value,Units,MoES,"""Proportion of teachers with the minimum required qualifications",,Lower secondary education,Percent,79.6
2016,Normal value,Units,MoES,"""Proportion of teachers with the minimum required qualifications",,Upper secondary education,Percent,80.9
2017,Normal value,Units,MoES,"""Proportion of teachers with the minimum required qualifications",,Upper secondary education,Percent,83.5
