Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2018,Normal value,Units,AAS,"""Share of women among owners or rights-bearers of agricultural land",,,Type of tenure: Customary,Percent,41.0
2018,Normal value,Units,Annual Agriculture Survey,"""Share of women among owners or rights-bearers of agricultural land",,,Type of tenure: Freehold,Percent,40.8
2019,Normal value,Units,Annual Agriculture Survey,"""Share of women among owners or rights-bearers of agricultural land",,,Type of tenure: Freehold,Percent,38.7
2021,Normal value,Units,Annual Agriculture Survey,"""Share of women among owners or rights-bearers of agricultural land",,,Type of tenure: Freehold,Percent,39.3
2018,Normal value,Units,AAS,"""Share of women among owners or rights-bearers of agricultural land",,,Type of tenure: Mailo,Percent,35.0
2018,Normal value,Units,AAS,"""Share of women among owners or rights-bearers of agricultural land",,,Type of tenure: National,Percent,40.8
2019,Normal value,Units,AAS,"""Share of women among owners or rights-bearers of agricultural land",,,Type of tenure: National,Percent,39.0
2018,Normal value,Units,AAS,"""Share of women among owners or rights-bearers of agricultural land",,,Type of tenure: Public land,Percent,34.0
2018,Normal value,Units,Annual Agriculture Survey,"""Share of women among owners or rights-bearers of agricultural land",,Female,Type of tenure: Customary,Percent,41.0
2018,Normal value,Units,Annual Agriculture Survey,"""Share of women among owners or rights-bearers of agricultural land",,Female,Type of tenure: Freehold,Percent,40.0
2021,Normal value,Units,Annual Agriculture Survey,"""Share of women among owners or rights-bearers of agricultural land",,Female,Type of tenure: Freehold,Percent,39.3
2018,Normal value,Units,Annual Agriculture Survey,"""Share of women among owners or rights-bearers of agricultural land",,Female,Type of tenure: Mailo,Percent,35.0
2018,Normal value,Units,Annual Agriculture Survey,"""Share of women among owners or rights-bearers of agricultural land",,Female,Type of tenure: National,Percent,40.8
2019,Normal value,Units,Annual Agriculture Survey,"""Share of women among owners or rights-bearers of agricultural land",,Female,Type of tenure: National,Percent,38.7
2021,Normal value,Units,Annual Agriculture Survey,"""Share of women among owners or rights-bearers of agricultural land",,Female,Type of tenure: National,Percent,39.3
2018,Normal value,Units,Annual Agriculture Survey,"""Share of women among owners or rights-bearers of agricultural land",,Female,Type of tenure: Public land,Percent,34.0
2018,Normal value,Units,Annual Agriculture Survey,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],,,,Percent,39.6
2019,Normal value,Units,Annual Agriculture Survey,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],,,,Percent,40.8
2021,Normal value,Units,Annual Agriculture Survey,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],,,,Percent,34.9
2018,Normal value,Units,Annual Agriculture Survey,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],,Female,,Percent,31.1
2019,Normal value,Units,Annual Agriculture Survey,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],,Female,,Percent,30.4
2021,Normal value,Units,Annual Agriculture Survey,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],,Female,,Percent,25.5
2018,Normal value,Units,Annual Agriculture Survey,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],,Male,,Percent,48.7
2019,Normal value,Units,Annual Agriculture Survey,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],,Male,,Percent,52.0
2021,Normal value,Units,Annual Agriculture Survey,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],,Male,,Percent,45.8
