Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2017,Normal value,Units,Uganda National Household Survey,Proportion of population with basic handwashing facilities on premises [6.2.1],,,,Percent,6.2
2020,Normal value,Units,Uganda National Household Survey,Proportion of population with basic handwashing facilities on premises [6.2.1],,,,Percent,7.6
2024,Normal value,Units,Uganda National Household Survey,Proportion of population with basic handwashing facilities on premises [6.2.1],,,,Percent,6.8
2017,Normal value,Units,Uganda National Household Survey,Proportion of population with basic handwashing facilities on premises [6.2.1],,Female,,Percent,6.0
2020,Normal value,Units,Uganda National Household Survey,Proportion of population with basic handwashing facilities on premises [6.2.1],,Female,,Percent,5.4
2024,Normal value,Units,Uganda National Household Survey,Proportion of population with basic handwashing facilities on premises [6.2.1],,Female,,Percent,7.0
2017,Normal value,Units,Uganda National Household Survey,Proportion of population with basic handwashing facilities on premises [6.2.1],,Male,,Percent,6.4
2020,Normal value,Units,Uganda National Household Survey,Proportion of population with basic handwashing facilities on premises [6.2.1],,Male,,Percent,6.0
2024,Normal value,Units,Uganda National Household Survey,Proportion of population with basic handwashing facilities on premises [6.2.1],,Male,,Percent,6.6
2015,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,,,Percent,18.7
2016,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,,,Percent,20.8
2017,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,,,Percent,6.2
2020,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,,,Percent,7.6
2022,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,,,Percent,34.2
2024,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,,,Percent,6.8
2015,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,,Rural,Percent,17.4
2022,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,,Rural,Percent,32.8
2015,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,,Urban,Percent,26.3
2022,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,,Urban,Percent,37.8
2016,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,Female,,Percent,17.7
2017,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,Female,,Percent,6.0
2020,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,Female,,Percent,5.4
2024,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,Female,,Percent,7.0
2016,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,Male,,Percent,31.7
2017,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,Male,,Percent,6.4
2020,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,Male,,Percent,6.0
2024,Normal value,Units,Uganda National Household Survey,Proportion of population using safely managed sanitation services [6.2.1],,Male,,Percent,6.6
