Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,International Energy Agency,Electricity generation from bioenergy,,Percent,1.687
2016,Normal value,Units,International Energy Agency,Electricity generation from bioenergy,,Percent,1.627
2017,Normal value,Units,International Energy Agency,Electricity generation from bioenergy,,Percent,1.856
2018,Normal value,Units,International Energy Agency,Electricity generation from bioenergy,,Percent,2.251
2019,Normal value,Units,International Energy Agency,Electricity generation from bioenergy,,Percent,2.173
2020,Normal value,Units,International Energy Agency,Electricity generation from bioenergy,,Percent,2.103
2021,Normal value,Units,International Energy Agency,Electricity generation from bioenergy,,Percent,2.09536
2022,Normal value,Units,International Energy Agency,Electricity generation from bioenergy,,Percent,2.03328
2023,Normal value,Units,International Energy Agency,Electricity generation from bioenergy,,Percent,1.97712
2015,Normal value,Units,International Energy Agency,Electricity generation from hydropower,,Percent,18.182
2016,Normal value,Units,International Energy Agency,Electricity generation from hydropower,,Percent,17.529
2017,Normal value,Units,International Energy Agency,Electricity generation from hydropower,,Percent,17.169
2018,Normal value,Units,International Energy Agency,Electricity generation from hydropower,,Percent,17.409
2019,Normal value,Units,International Energy Agency,Electricity generation from hydropower,,Percent,22.681
2020,Normal value,Units,International Energy Agency,Electricity generation from hydropower,,Percent,22.094
2021,Normal value,Units,International Energy Agency,Electricity generation from hydropower,,Percent,22.01885
2022,Normal value,Units,International Energy Agency,Electricity generation from hydropower,,Percent,21.82724
2023,Normal value,Units,International Energy Agency,Electricity generation from hydropower,,Percent,21.22438
2015,Normal value,Units,International Energy Agency,Electricity generation from solar,,Percent,0.576
2016,Normal value,Units,International Energy Agency,Electricity generation from solar,,Percent,0.605
2017,Normal value,Units,International Energy Agency,Electricity generation from solar,,Percent,1.059
2018,Normal value,Units,International Energy Agency,Electricity generation from solar,,Percent,1.564
2019,Normal value,Units,International Energy Agency,Electricity generation from solar,,Percent,1.738
2020,Normal value,Units,International Energy Agency,Electricity generation from solar,,Percent,1.69
2021,Normal value,Units,International Energy Agency,Electricity generation from solar,,Percent,1.9706
2022,Normal value,Units,International Energy Agency,Electricity generation from solar,,Percent,2.00014
2023,Normal value,Units,International Energy Agency,Electricity generation from solar,,Percent,1.94818
