Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Age,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,Normal value,Units,Survey by BOU,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,With a bank account,Percent,28.8
2016,Normal value,Units,Survey by BOU,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,With a bank account,Percent,31.8
2017,Normal value,Units,Survey by BOU,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,With a bank account,Percent,44.0
2018,Normal value,Units,Survey by BOU,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,With a bank account,Percent,53.8
2019,Normal value,Units,Survey by BOU,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,With a bank account,Percent,63.9
2020,Normal value,Units,Survey by BOU,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,With a bank account,Percent,76.1
2018,Normal value,Units,Survey by BOU,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,With a mobile money account,Percent,69.6
2019,Normal value,Units,Survey by BOU,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,With a mobile money account,Percent,79.9
2020,Normal value,Units,Survey by BOU,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,With a mobile money account,Percent,86.7
2015,Normal value,Units,SURVEY BY BANK OF UGANDA,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Percent,28.8
2016,Normal value,Units,SURVEY BY BANK OF UGANDA,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Percent,31.8
2017,Normal value,Units,SURVEY BY BANK OF UGANDA,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Percent,44.0
2018,Normal value,Units,SURVEY BY BANK OF UGANDA,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Percent,69.6
2019,Normal value,Units,SURVEY BY BANK OF UGANDA,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Percent,79.9
2020,Normal value,Units,SURVEY BY BANK OF UGANDA,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Percent,86.7
2021,Normal value,Units,SURVEY BY BANK OF UGANDA,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Percent,106.357
2022,Normal value,Units,SURVEY BY BANK OF UGANDA,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Percent,115.546
2023,Normal value,Units,SURVEY BY BANK OF UGANDA,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Percent,122.7963
2024,Normal value,Units,SURVEY BY BANK OF UGANDA,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Percent,136.0
