Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Value
2017,Normal value,Units,UNHS,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,,,Percent,9.0
2020,Normal value,Units,UNHS,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,,,Percent,8.6
2017,Normal value,Units,UNHS,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,,60 years old and over,Percent,5.6
2020,Normal value,Units,UNHS,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,,60 years old and over,Percent,3.4
2017,Normal value,Units,UNHS,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,,18 to 30 years old,Percent,13.4
2020,Normal value,Units,UNHS,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,,18 to 30 years old,Percent,13.0
2017,Normal value,Units,UNHS,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,,31 to 59 years old,Percent,4.7
2020,Normal value,Units,UNHS,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,,31 to 59 years old,Percent,5.6
2017,Normal value,Units,UNHS,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,,5 to 17 years old,Percent,14.7
2020,Normal value,Units,UNHS,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,,5 to 17 years old,Percent,19.0
2017,Normal value,Units,UNHS,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,Female,,Percent,13.0
2020,Normal value,Units,UNHS,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,Female,,Percent,8.7
2017,Normal value,Units,UNHS,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,Male,,Percent,5.9
2020,Normal value,Units,UNHS,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,Male,,Percent,8.5
