Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,Freight volume (tonne kilometres) [9.1.2],Cargo volume for Air transport,Tonne kilometres,54450.0
2016,Freight volume (tonne kilometres) [9.1.2],Cargo volume for Air transport,Tonne kilometres,59556.0
2017,Freight volume (tonne kilometres) [9.1.2],Cargo volume for Air transport,Tonne kilometres,69306.0
2018,Freight volume (tonne kilometres) [9.1.2],Cargo volume for Air transport,Tonne kilometres,63353.0
2019,Freight volume (tonne kilometres) [9.1.2],Cargo volume for Air transport,Tonne kilometres,64731.0
2020,Freight volume (tonne kilometres) [9.1.2],Cargo volume for Air transport,Tonne kilometres,58898.0
2021,Freight volume (tonne kilometres) [9.1.2],Cargo volume for Air transport,Tonne kilometres,53553.0
2016,Freight volume (tonne kilometres) [9.1.2],Cargo volume for Railway transport,Tonne kilometres,599847.0
2017,Freight volume (tonne kilometres) [9.1.2],Cargo volume for Railway transport,Tonne kilometres,355290.0
2018,Freight volume (tonne kilometres) [9.1.2],Cargo volume for Railway transport,Tonne kilometres,105723.0
2019,Freight volume (tonne kilometres) [9.1.2],Cargo volume for Railway transport,Tonne kilometres,193693.0
2020,Freight volume (tonne kilometres) [9.1.2],Cargo volume for Railway transport,Tonne kilometres,196935.0
2021,Freight volume (tonne kilometres) [9.1.2],Cargo volume for Railway transport,Tonne kilometres,390628.0
2017,Freight volume (tonne kilometres) [9.1.2],Cargo volume for water transport,Tonne kilometres,755.4
2018,Freight volume (tonne kilometres) [9.1.2],Cargo volume for water transport,Tonne kilometres,1186.4
2019,Freight volume (tonne kilometres) [9.1.2],Cargo volume for water transport,Tonne kilometres,1845.6
2020,Freight volume (tonne kilometres) [9.1.2],Cargo volume for water transport,Tonne kilometres,2110.1
2021,Freight volume (tonne kilometres) [9.1.2],Cargo volume for water transport,Tonne kilometres,2834.7
2015,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for Air transport,Number,1520439.0
2016,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for Air transport,Number,1549495.0
2017,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for Air transport,Number,1644702.0
2018,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for Air transport,Number,1871423.0
2019,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for Air transport,Number,2008238.0
2020,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for Air transport,Number,622643.0
2021,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for Air transport,Number,779005.0
2018,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for Railway transport,Number,438783.0
2019,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for Railway transport,Number,619206.0
2020,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for Railway transport,Number,180327.0
2021,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for Railway transport,Number,799533.0
2017,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for water transport,Number,4275112.0
2018,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for water transport,Number,4549333.0
2019,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for water transport,Number,1155299.0
2020,Passenger volume (passenger kilometres) [9.1.2],Passenger volume for water transport,Number,3842092.0
