Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,Source details,Value
2015,Normal value,Units,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Bank of Uganda,5.3
2016,Normal value,Units,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Bank of Uganda,10.5
2017,Normal value,Units,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Bank of Uganda,5.6
2018,Normal value,Units,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Bank of Uganda,3.4
2019,Normal value,Units,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Bank of Uganda,4.9
2020,Normal value,Units,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Bank of Uganda,5.3
2021,Normal value,Units,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Bank of Uganda,5.26
2022,Normal value,Units,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Bank of Uganda,5.35
2023,Normal value,Units,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Bank of Uganda,4.6
2024,Normal value,Units,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Bank of Uganda,3.98
2025,Normal value,Units,Non-performing loans to total gross loans (%) [10.5.1],,Percent,Bank of Uganda,3.21
2015,Normal value,Units,Return on assets (%) [10.5.1],,Percent,Bank of Uganda,2.6
2016,Normal value,Units,Return on assets (%) [10.5.1],,Percent,Bank of Uganda,1.3
2017,Normal value,Units,Return on assets (%) [10.5.1],,Percent,Bank of Uganda,2.7
2018,Normal value,Units,Return on assets (%) [10.5.1],,Percent,Bank of Uganda,2.5
2019,Normal value,Units,Return on assets (%) [10.5.1],,Percent,Bank of Uganda,2.9
2020,Normal value,Units,Return on assets (%) [10.5.1],,Percent,Bank of Uganda,2.4
2021,Normal value,Units,Return on assets (%) [10.5.1],,Percent,Bank of Uganda,2.69
2022,Normal value,Units,Return on assets (%) [10.5.1],,Percent,Bank of Uganda,2.75
2023,Normal value,Units,Return on assets (%) [10.5.1],,Percent,Bank of Uganda,3.19
2024,Normal value,Units,Return on assets (%) [10.5.1],,Percent,Bank of Uganda,3.12
2025,Normal value,Units,Return on assets (%) [10.5.1],,Percent,Bank of Uganda,3.78
2015,Normal value,Units,Regulatory capital to assets (%) [10.5.1],,Percent,Bank of Uganda,18.58006876307593
2016,Normal value,Units,Regulatory capital to assets (%) [10.5.1],,Percent,Bank of Uganda,17.306861189512084
