Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,United Nations Environment Programme - Environment Live and World Environment Situation Room,"""Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste",,Percent,39.22
2020,Normal value,Units,United Nations Environment Programme - Environment Live and World Environment Situation Room,"""Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste",,Percent,34.48
2025,Normal value,Units,United Nations Environment Programme - Environment Live and World Environment Situation Room,"""Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste",,Percent,32.8
2015,Normal value,Units,United Nations Environment Programme - Environment Live and World Environment Situation Room,"""Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste",,Percent,50.0
2020,Normal value,Units,United Nations Environment Programme - Environment Live and World Environment Situation Room,"""Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste",,Percent,75.0
2025,Normal value,Units,United Nations Environment Programme - Environment Live and World Environment Situation Room,"""Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste",,Percent,40.0
2015,Normal value,Units,United Nations Environment Programme - Environment Live and World Environment Situation Room,"""Parties meeting their commitments and obligations in transmitting information as required by Montreal Protocol on hazardous waste",,Percent,16.67
2020,Normal value,Units,United Nations Environment Programme - Environment Live and World Environment Situation Room,"""Parties meeting their commitments and obligations in transmitting information as required by Montreal Protocol on hazardous waste",,Percent,20.0
2025,Normal value,Units,United Nations Environment Programme - Environment Live and World Environment Situation Room,"""Parties meeting their commitments and obligations in transmitting information as required by Montreal Protocol on hazardous waste",,Percent,60.0
2020,Normal value,Units,United Nations Environment Programme - Environment Live and World Environment Situation Room,"""Parties meeting their commitments and obligations in transmitting information as required by Rotterdam Convention on hazardous waste",,Percent,66.67
2025,Normal value,Units,United Nations Environment Programme - Environment Live and World Environment Situation Room,"""Parties meeting their commitments and obligations in transmitting information as required by Rotterdam Convention on hazardous waste",,Percent,66.7
2015,Normal value,Units,United Nations Environment Programme - Environment Live and World Environment Situation Room,"""Parties meeting their commitments and obligations in transmitting information as required by Stockholm Convention on hazardous waste",,Percent,100.0
2020,Normal value,Units,United Nations Environment Programme - Environment Live and World Environment Situation Room,"""Parties meeting their commitments and obligations in transmitting information as required by Stockholm Convention on hazardous waste",,Percent,100.0
2025,Normal value,Units,United Nations Environment Programme - Environment Live and World Environment Situation Room,"""Parties meeting their commitments and obligations in transmitting information as required by Stockholm Convention on hazardous waste",,Percent,100.0
