Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Age,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,,,"""victims of intentional homicide per 100","Per 100,000 population",2020,11.8
2016,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,,,"""victims of intentional homicide per 100","Per 100,000 population",2020,19.4
2017,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,,,"""victims of intentional homicide per 100","Per 100,000 population",2020,12.9
2018,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,,,"""victims of intentional homicide per 100","Per 100,000 population",2020,12.2
2019,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,,,"""victims of intentional homicide per 100","Per 100,000 population",2020,12.2
2020,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,,,"""victims of intentional homicide per 100","Per 100,000 population",2020,12.5
2015,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,,,,"Per 100,000 population",,11.8
2020,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,,,,"Per 100,000 population",,11.03
2021,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,,,,"Per 100,000 population",,9.02
2022,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,,,,"Per 100,000 population",,9.4
2023,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,,,,"Per 100,000 population",,9.6
2024,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,,,,"Per 100,000 population",,9.6
2015,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,Female,,"""victims of intentional homicide per 100","Per 100,000 population",2020,2.3
2016,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,Female,,"""victims of intentional homicide per 100","Per 100,000 population",2020,12.1
2017,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,Female,,"""victims of intentional homicide per 100","Per 100,000 population",2020,4.9
2018,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,Female,,"""victims of intentional homicide per 100","Per 100,000 population",2020,4.6
2019,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,Female,,"""victims of intentional homicide per 100","Per 100,000 population",2020,4.6
2020,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,Female,,"""victims of intentional homicide per 100","Per 100,000 population",2020,5.5
2020,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,,,"Per 100,000 population",,2.14
2021,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,,,"Per 100,000 population",,1.67
2022,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,,,"Per 100,000 population",,1.58
2023,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,,,"Per 100,000 population",,1.62
2024,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,,,"Per 100,000 population",,1.54
2015,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,18 years old and over,,Number,2019,188.0
2016,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,18 years old and over,,Number,2019,733.0
2017,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,18 years old and over,,Number,2019,738.0
2018,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,18 years old and over,,Number,2019,674.0
2019,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,18 years old and over,,Number,2019,717.0
2020,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,18 years old and over,,Number,2019,723.0
2021,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,18 years old and over,,Number,2019,584.0
2022,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,18 years old and over,,Number,2019,536.0
2023,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,18 years old and over,,Number,2019,599.0
2024,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,18 years old and over,,Number,2019,594.0
2015,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,under 18 years old,,Number,2019,223.0
2016,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,under 18 years old,,Number,2019,1533.0
2017,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,under 18 years old,,Number,2019,213.0
2018,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,under 18 years old,,Number,2019,239.0
2019,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,under 18 years old,,Number,2019,234.0
2020,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,under 18 years old,,Number,2019,166.0
2021,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,under 18 years old,,Number,2019,131.0
2022,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,under 18 years old,,Number,2019,163.0
2023,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,under 18 years old,,Number,2019,138.0
2024,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Female,under 18 years old,,Number,2019,114.0
2015,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,Male,,"""victims of intentional homicide per 100","Per 100,000 population",2020,21.7
2016,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,Male,,"""victims of intentional homicide per 100","Per 100,000 population",2020,27.1
2017,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,Male,,"""victims of intentional homicide per 100","Per 100,000 population",2020,21.4
2018,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,Male,,"""victims of intentional homicide per 100","Per 100,000 population",2020,20.2
2019,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,Male,,"""victims of intentional homicide per 100","Per 100,000 population",2020,20.1
2020,Normal value,Units,Administrative data from UPF,"""Number of victims of intentional homicide per 100",,Male,,"""victims of intentional homicide per 100","Per 100,000 population",2020,19.7
2020,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,,,"Per 100,000 population",,8.9
2021,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,,,"Per 100,000 population",,7.64
2022,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,,,"Per 100,000 population",,7.79
2023,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,,,"Per 100,000 population",,7.96
2024,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,,,"Per 100,000 population",,8.06
2015,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,18 years old and over,,Number,2019,3469.0
2016,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,18 years old and over,,Number,2019,3273.0
2017,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,18 years old and over,,Number,2019,3675.0
2018,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,18 years old and over,,Number,2019,3546.0
2019,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,18 years old and over,,Number,2019,3677.0
2020,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,18 years old and over,,Number,2019,3438.0
2021,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,18 years old and over,,Number,2019,3089.0
2022,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,18 years old and over,,Number,2019,3229.0
2023,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,18 years old and over,,Number,2019,3381.0
2024,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,18 years old and over,,Number,2019,3494.0
2015,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,under 18 years old,,Number,2019,290.0
2016,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,under 18 years old,,Number,2019,1576.0
2017,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,under 18 years old,,Number,2019,279.0
2018,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,under 18 years old,,Number,2019,318.0
2019,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,under 18 years old,,Number,2019,294.0
2020,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,under 18 years old,,Number,2019,262.0
2021,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,under 18 years old,,Number,2019,187.0
2022,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,under 18 years old,,Number,2019,215.0
2023,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,under 18 years old,,Number,2019,248.0
2024,Normal value,Units,Uganda Police Force,"""Number of victims of intentional homicide per 100",,Male,under 18 years old,,Number,2019,209.0
