Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government Expenditure on Accountability,Percent,2021,77
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government Expenditure on Accountability,Percent,2021,100
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government Expenditure on Accountability,Percent,2021,102
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government Expenditure on Accountability,Percent,2021,83
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government Expenditure on Accountability,Percent,2021,95
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government Expenditure on Accountability,Percent,2021,132
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Agriculture,Percent,2021,79
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Agriculture,Percent,2021,84
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Agriculture,Percent,2021,85
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Agriculture,Percent,2021,82
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Agriculture,Percent,2021,83
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Agriculture,Percent,2021,67
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Education,Percent,2021,83
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Education,Percent,2021,80
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Education,Percent,2021,81
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Education,Percent,2021,86
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Education,Percent,2021,93
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Education,Percent,2021,91
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Energy and Mineral Development,Percent,2021,18
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Energy and Mineral Development,Percent,2021,25
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Energy and Mineral Development,Percent,2021,33
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Energy and Mineral Development,Percent,2021,47
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Energy and Mineral Development,Percent,2021,32
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Energy and Mineral Development,Percent,2021,38
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Health,Percent,2021,81
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Health,Percent,2021,61
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Health,Percent,2021,57
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Health,Percent,2021,67
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Health,Percent,2021,76
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Health,Percent,2021,100
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on ICT,Percent,2021,31
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on ICT,Percent,2021,103
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on ICT,Percent,2021,83
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on ICT,Percent,2021,88
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on ICT,Percent,2021,125
