Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,Uganda Demographic Health Survey,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,,Percent,,32.2
2022,Normal value,Units,Uganda Demographic Health Survey,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,,Percent,,40.4
2024,Normal value,Units,Uganda Demographic Health Survey,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,,Percent,,10.3
2017,Normal value,Units,NGPSS,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,Urban,Percent,2017,40.0
2016,Normal value,Units,Uganda Demographic Health Survey,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Female,,Percent,,32.2
2022,Normal value,Units,Uganda Demographic Health Survey,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Female,,Percent,,40.0
2024,Normal value,Units,Uganda Demographic Health Survey,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Female,,Percent,,10.3
2016,Normal value,Units,Uganda Demographic Health Survey,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Male,,Percent,,32.2
2022,Normal value,Units,Uganda Demographic Health Survey,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Male,,Percent,,40.7
2024,Normal value,Units,Uganda Demographic Health Survey,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Male,,Percent,,10.3
