Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2017,Normal value,Units,NGPSS,"""Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law [10.3.1",,,,Percent,35
2025,Normal value,Units,NGPSS,"""Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law [10.3.1",,,,Percent,28
2017,Normal value,Units,NGPSS,"""Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law [10.3.1",,,Rural,Percent,33
2025,Normal value,Units,NGPSS,"""Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law [10.3.1",,,Rural,Percent,28
2017,Normal value,Units,NGPSS,"""Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law [10.3.1",,,Urban,Percent,40
2025,Normal value,Units,NGPSS,"""Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law [10.3.1",,,Urban,Percent,28
2017,Normal value,Units,NGPSS,"""Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law [10.3.1",,Female,,Percent,32
2025,Normal value,Units,NGPSS,"""Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law [10.3.1",,Female,,Percent,25
2017,Normal value,Units,NGPSS,"""Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law [10.3.1",,Male,,Percent,39
2025,Normal value,Units,NGPSS,"""Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law [10.3.1",,Male,,Percent,31
