Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Value
2016,Normal value,Units,Uganda Demographic and Health Survey,Proportion of women aged 15-49 years with anaemia [2.2.3],,,15 to 49 years old,Percent,31.7
2006,Normal value,Units,Uganda Demographic Health Survey,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,,Percent,49.0
2011,Normal value,Units,Uganda Demographic Health Survey,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,,Percent,23.0
2016,Normal value,Units,Uganda Demographic Health Survey,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,,Percent,31.7
2016,Normal value,Units,UDHS,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,31.7
2016,Normal value,Units,Uganda Demographic and Health Survey,"""Proportion of women aged 15-49 years with anaemia",,,15 to 50 years old,Percent,29.9
2006,Normal value,Units,Uganda Demographic Health Survey,"""Proportion of women aged 15-49 years with anaemia",,Female,,Percent,43.1
2011,Normal value,Units,Uganda Demographic Health Survey,"""Proportion of women aged 15-49 years with anaemia",,Female,,Percent,20.3
2016,Normal value,Units,Uganda Demographic Health Survey,"""Proportion of women aged 15-49 years with anaemia",,Female,,Percent,29.9
2016,Normal value,Units,UDHS,"""Proportion of women aged 15-49 years with anaemia",,Female,15 to 49 years old,Percent,29.9
2016,Normal value,Units,Uganda Demographic and Health Survey,"""Proportion of women aged 15-49 years with anaemia",,,15 to 51 years old,Percent,39.2
2006,Normal value,Units,Uganda Demographic Health Survey,"""Proportion of women aged 15-49 years with anaemia",,Female,,Percent,64.4
2011,Normal value,Units,Uganda Demographic Health Survey,"""Proportion of women aged 15-49 years with anaemia",,Female,,Percent,30.6
2016,Normal value,Units,Uganda Demographic Health Survey,"""Proportion of women aged 15-49 years with anaemia",,Female,,Percent,39.2
2016,Normal value,Units,UDHS,"""Proportion of women aged 15-49 years with anaemia",,Female,15 to 49 years old,Percent,39.2
