Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2017,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,"""IHR Capacity: National legislation",Percent,50
2017,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,IHR Capacity: Coordination and National Focal Point communications,Percent,53
2017,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,IHR Capacity: Surveillance,Percent,60
2017,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,IHR Capacity: Response,Percent,76
2017,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,IHR Capacity: Preparedness,Percent,82
2017,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,IHR Capacity: Risk communication,Percent,71
2017,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,IHR Capacity: Human resources,Percent,60
2017,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,IHR Capacity: Laboratory,Percent,100
2017,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,IHR Capacity: Points of entry,Percent,0
2017,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,IHR Capacity: Zoonotic events,Percent,56
2017,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,IHR Capacity: Food safety,Percent,20
2017,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,IHR Capacity: Chemical events,Percent,62
2017,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,IHR Capacity: Radionuclear emergencies,Percent,69
2018,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Legislation and Financing,Percent,47
2019,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Legislation and Financing,Percent,53
2020,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Legislation and Financing,Percent,73
2018,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: IHR Coordination and National IHR Focal Point Functions,Percent,50
2019,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: IHR Coordination and National IHR Focal Point Functions,Percent,50
2020,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: IHR Coordination and National IHR Focal Point Functions,Percent,60
2018,Normal value,Units,IHR -WHO Global Health Observatory,"""International Health Regulations (IHR) capacity",,State Party Annual Report: Zoonotic events and the human朼nimal interface,Percent,40
