Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Education level,UNIT_MEASURE,Value
2016,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,,Primary seven,Percent,61.5
2017,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,,Primary seven,Percent,60.0
2018,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,,Primary seven,Percent,62.8
2019,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,,Primary seven,Percent,62.9
2020,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,,Primary seven,Percent,67.2
2016,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,,Senior four,Percent,37.8
2017,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,,Senior four,Percent,34.8
2018,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,,Senior four,Percent,34.2
2019,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,,Senior four,Percent,33.6
2020,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,,Senior four,Percent,32.4
2016,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Female,Primary seven,Percent,63.4
2017,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Female,Primary seven,Percent,60.0
2018,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Female,Primary seven,Percent,65.8
2019,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Female,Primary seven,Percent,66.5
2020,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Female,Primary seven,Percent,72.2
2016,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Female,Senior four,Percent,36.0
2017,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Female,Senior four,Percent,33.5
2018,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Female,Senior four,Percent,33.9
2019,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Female,Senior four,Percent,33.9
2020,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Female,Senior four,Percent,32.7
2016,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Male,Primary seven,Percent,59.7
2017,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Male,Primary seven,Percent,59.3
2018,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Male,Primary seven,Percent,59.5
2019,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Male,Primary seven,Percent,59.4
2020,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Male,Primary seven,Percent,62.0
2016,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Male,Senior four,Percent,39.6
2017,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Male,Senior four,Percent,36.2
2018,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Male,Senior four,Percent,34.5
2019,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Male,Senior four,Percent,33.4
2020,Normal value,Units,NAPE,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Male,Senior four,Percent,32.1
