Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2016,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Sending e-mails with attached files,Percent,51.9
2017,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Sending e-mails with attached files,Percent,51.9
2020,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Sending e-mails with attached files,Percent,41.2
2016,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: connecting and installing new devices,Percent,46.0
2017,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: connecting and installing new devices,Percent,46.0
2020,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: connecting and installing new devices,Percent,17.6
2016,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Copying or moving a file or folder,Percent,94.1
2017,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Copying or moving a file or folder,Percent,94.1
2020,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Copying or moving a file or folder,Percent,70.6
2016,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,Percent,80.6
2017,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,Percent,80.6
2020,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,Percent,55.3
2016,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Writing a computer program using a specialized programming language,Percent,6.4
2017,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Writing a computer program using a specialized programming language,Percent,6.5
2020,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Writing a computer program using a specialized programming language,Percent,5.9
2016,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Creating electronic presentations with presentation software,Percent,24.7
2017,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Creating electronic presentations with presentation software,Percent,24.7
2020,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Creating electronic presentations with presentation software,Percent,11.8
2016,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,"""Skill: ICT Skill: Finding",Percent,27.8
2017,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,"""Skill: ICT Skill: Finding",Percent,27.8
2020,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,"""Skill: ICT Skill: Finding",Percent,11.6
2016,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Percent,43.2
2017,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Percent,43.2
2020,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Percent,24.4
2016,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Transferring files between a computer and other devices,Percent,45.2
2017,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Transferring files between a computer and other devices,Percent,45.2
2020,Normal value,Units,UNHS,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Skill: ICT Skill: Transferring files between a computer and other devices,Percent,30.1
