Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Education level,UNIT_MEASURE,Value
2017,Normal value,Units,Ministry of Education and Sports,"""Proportion of schools with basic handwashing facilities",,Primary education or less,Percent,40.9
2017,Normal value,Units,MoES,"""Proportion of schools with basic handwashing facilities",,Primary education,Percent,40.9
2017,Normal value,Units,MoES,"""Proportion of schools with basic handwashing facilities",,Lower secondary education,Percent,54.3
2017,Normal value,Units,MoES,"""Proportion of schools with basic handwashing facilities",,Upper secondary education,Percent,59.1
2016,Normal value,Units,Ministry of Education and Sports,"""Proportion of schools with access to basic drinking water",,Primary education or less,Percent,76.2
2017,Normal value,Units,Ministry of Education and Sports,"""Proportion of schools with access to basic drinking water",,Primary education or less,Percent,87.5
2016,Normal value,Units,MoES,"""Proportion of schools with access to basic drinking water",,Primary education,Percent,76.2
2017,Normal value,Units,MoES,"""Proportion of schools with access to basic drinking water",,Primary education,Percent,87.5
2016,Normal value,Units,MoES,"""Proportion of schools with access to basic drinking water",,Lower secondary education,Percent,82.7
2017,Normal value,Units,MoES,"""Proportion of schools with access to basic drinking water",,Lower secondary education,Percent,92.2
2016,Normal value,Units,MoES,"""Proportion of schools with access to basic drinking water",,Upper secondary education,Percent,87.0
2017,Normal value,Units,MoES,"""Proportion of schools with access to basic drinking water",,Upper secondary education,Percent,95.3
2016,Normal value,Units,Ministry of Education and Sports,"""Proportion of schools with access to single-sex basic sanitation",,Primary education or less,Percent,87.5
2017,Normal value,Units,Ministry of Education and Sports,"""Proportion of schools with access to single-sex basic sanitation",,Primary education or less,Percent,90.0
2016,Normal value,Units,MoES,"""Proportion of schools with access to single-sex basic sanitation",,Primary education,Percent,87.5
2017,Normal value,Units,MoES,"""Proportion of schools with access to single-sex basic sanitation",,Primary education,Percent,90.0
2016,Normal value,Units,MoES,"""Proportion of schools with access to single-sex basic sanitation",,Lower secondary education,Percent,85.2
2017,Normal value,Units,MoES,"""Proportion of schools with access to single-sex basic sanitation",,Lower secondary education,Percent,90.7
2016,Normal value,Units,MoES,"""Proportion of schools with access to single-sex basic sanitation",,Upper secondary education,Percent,83.4
2017,Normal value,Units,MoES,"""Proportion of schools with access to single-sex basic sanitation",,Upper secondary education,Percent,99.9
