Year,SERIES,Sex,COMPOSITE_BREAKDOWN,Value
2018,"Share of women among owners or rights-bearers of agricultural land, by type of tenure [5.a.1]",,Type of tenure: Customary,41.0
2018,"Share of women among owners or rights-bearers of agricultural land, by type of tenure [5.a.1]",,Type of tenure: Freehold,40.0
2018,"Share of women among owners or rights-bearers of agricultural land, by type of tenure [5.a.1]",,Type of tenure: Mailo,35.0
2018,"Share of women among owners or rights-bearers of agricultural land, by type of tenure [5.a.1]",,Type of tenure: National,40.8
2019,"Share of women among owners or rights-bearers of agricultural land, by type of tenure [5.a.1]",,Type of tenure: National,39.0
2018,"Share of women among owners or rights-bearers of agricultural land, by type of tenure [5.a.1]",,Type of tenure: Public land,34.0
2018,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],,,48.7
2019,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],,,40.8
2018,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],Female,,39.6
2019,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],Female,,30.4
2018,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],Male,,31.1
2019,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],Male,,52.0
