Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2015,Normal value,Units,NLFS,Fatal occupational injuries among employees (rate) [8.8.1],,Female,Percent,0
2016,Normal value,Units,NLFS,Fatal occupational injuries among employees (rate) [8.8.1],,Female,Percent,0
2017,Normal value,Units,NLFS,Fatal occupational injuries among employees (rate) [8.8.1],,Female,Percent,0
2018,Normal value,Units,NLFS,Fatal occupational injuries among employees (rate) [8.8.1],,Female,Percent,2
2019,Normal value,Units,NLFS,Fatal occupational injuries among employees (rate) [8.8.1],,Female,Percent,10
2020,Normal value,Units,NLFS,Fatal occupational injuries among employees (rate) [8.8.1],,Female,Percent,1
2015,Normal value,Units,NLFS,Fatal occupational injuries among employees (rate) [8.8.1],,Male,Percent,39
2016,Normal value,Units,NLFS,Fatal occupational injuries among employees (rate) [8.8.1],,Male,Percent,5
2017,Normal value,Units,NLFS,Fatal occupational injuries among employees (rate) [8.8.1],,Male,Percent,2
2018,Normal value,Units,NLFS,Fatal occupational injuries among employees (rate) [8.8.1],,Male,Percent,9
2019,Normal value,Units,NLFS,Fatal occupational injuries among employees (rate) [8.8.1],,Male,Percent,0
2020,Normal value,Units,NLFS,Fatal occupational injuries among employees (rate) [8.8.1],,Male,Percent,1
