Year,Value,SERIES
2017,13.3,"Proportion of total government spending on essential services, education [1.a.2]"
2018,13.0,"Proportion of total government spending on essential services, education [1.a.2]"
2019,12.2,"Proportion of total government spending on essential services, education [1.a.2]"
2020,12.1,"Proportion of total government spending on essential services, education [1.a.2]"
2021,14.7,"Proportion of total government spending on essential services, education [1.a.2]"
2017,6.5,"Proportion of total government spending on essential services, health [1.a.2]"
2018,6.2,"Proportion of total government spending on essential services, health [1.a.2]"
2019,6.4,"Proportion of total government spending on essential services, health [1.a.2]"
2020,9.2,"Proportion of total government spending on essential services, health [1.a.2]"
2021,7.3,"Proportion of total government spending on essential services, health [1.a.2]"
2017,1.1,"Proportion of total government spending on essential services, social protection [1.a.2]"
2018,1.2,"Proportion of total government spending on essential services, social protection [1.a.2]"
2019,1.0,"Proportion of total government spending on essential services, social protection [1.a.2]"
2020,1.1,"Proportion of total government spending on essential services, social protection [1.a.2]"
2021,1.2,"Proportion of total government spending on essential services, social protection [1.a.2]"
