Year,Value,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2015,42.7,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on cultural heritage, public and private [11.4.1]"
2016,57.9,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on cultural heritage, public and private [11.4.1]"
2017,67.7,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on cultural heritage, public and private [11.4.1]"
2018,104.7,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on cultural heritage, public and private [11.4.1]"
2019,78.2,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on cultural heritage, public and private [11.4.1]"
2020,129.7,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on cultural heritage, public and private [11.4.1]"
2021,119.5,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on cultural heritage, public and private [11.4.1]"
2015,2.0,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2016,2.7,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2017,3.2,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2018,3.9,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2019,5.2,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2020,9.9,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2021,13.2,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]"
2015,47.1,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on natural heritage, public and private [11.4.1]"
2016,63.9,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on natural heritage, public and private [11.4.1]"
2017,74.9,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on natural heritage, public and private [11.4.1]"
2018,111.6,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on natural heritage, public and private [11.4.1]"
2019,86.2,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on natural heritage, public and private [11.4.1]"
2020,143.7,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on natural heritage, public and private [11.4.1]"
2021,138.1,Normal value,Units,Constant PPP USD,"Total expenditure per capita spent on natural heritage, public and private [11.4.1]"
