Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2013,A,0,Uganda National Household Survey,SI_POV_NAHC,,,PT,19.7
2017,A,0,Uganda National Household Survey,SI_POV_NAHC,,,PT,21.4
2020,A,0,Uganda National Household Survey,SI_POV_NAHC,,,PT,20.3
2024,A,0,Uganda National Household Survey,SI_POV_NAHC,,,PT,16.1
2013,A,0,Uganda National Household Survey,SI_POV_NAHC,,R,PT,22.8
2017,A,0,Uganda National Household Survey,SI_POV_NAHC,,R,PT,25.0
2020,A,0,Uganda National Household Survey,SI_POV_NAHC,,R,PT,23.4
2024,A,0,Uganda National Household Survey,SI_POV_NAHC,,R,PT,19.4
2013,A,0,Uganda National Household Survey,SI_POV_NAHC,,U,PT,9.3
2017,A,0,Uganda National Household Survey,SI_POV_NAHC,,U,PT,9.6
2020,A,0,Uganda National Household Survey,SI_POV_NAHC,,U,PT,11.7
2024,A,0,Uganda National Household Survey,SI_POV_NAHC,,U,PT,10.3
