Year,SERIES,SEX,URBANISATION,Value
2017,SP_ACS_BSRVH2O,,,80.0
2020,SP_ACS_BSRVH2O,,,79.0
2017,SP_ACS_BSRVH2O,,R,74.9
2020,SP_ACS_BSRVH2O,,R,75.0
2017,SP_ACS_BSRVH2O,,U,92.3
2020,SP_ACS_BSRVH2O,,U,91.0
2017,SP_ACS_BSRVH2O,F,,82.0
2020,SP_ACS_BSRVH2O,F,,80.1
2017,SP_ACS_BSRVH2O,M,,78.9
2020,SP_ACS_BSRVH2O,M,,77.5
2017,SP_ACS_BSRVSAN,,,92.8
2020,SP_ACS_BSRVSAN,,,95.0
2017,SP_ACS_BSRVSAN,,R,90.7
2020,SP_ACS_BSRVSAN,,R,97.0
2017,SP_ACS_BSRVSAN,,U,98.0
2020,SP_ACS_BSRVSAN,,U,91.0
2017,SP_ACS_BSRVSAN,F,,91.5
2020,SP_ACS_BSRVSAN,F,,91.0
2017,SP_ACS_BSRVSAN,M,,93.3
2020,SP_ACS_BSRVSAN,M,,94.0
