Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,FI_FSI_FSANL,,PT,5.3
2016,A,0,FI_FSI_FSANL,,PT,10.5
2017,A,0,FI_FSI_FSANL,,PT,5.6
2018,A,0,FI_FSI_FSANL,,PT,3.4
2019,A,0,FI_FSI_FSANL,,PT,4.9
2020,A,0,FI_FSI_FSANL,,PT,5.3
2021,A,0,FI_FSI_FSANL,,PT,5.26
2022,A,0,FI_FSI_FSANL,,PT,5.35
2023,A,0,FI_FSI_FSANL,,PT,4.6
2024,A,0,FI_FSI_FSANL,,PT,3.98
2015,A,0,FI_FSI_FSERA,,PT,2.6
2016,A,0,FI_FSI_FSERA,,PT,1.3
2017,A,0,FI_FSI_FSERA,,PT,2.7
2018,A,0,FI_FSI_FSERA,,PT,2.5
2019,A,0,FI_FSI_FSERA,,PT,2.9
2020,A,0,FI_FSI_FSERA,,PT,2.4
2021,A,0,FI_FSI_FSERA,,PT,2.69
2022,A,0,FI_FSI_FSERA,,PT,2.75
2023,A,0,FI_FSI_FSERA,,PT,3.19
2024,A,0,FI_FSI_FSERA,,PT,3.12
2015,A,0,FI_FSI_FSKA,,PT,18.58006876307593
2016,A,0,FI_FSI_FSKA,,PT,17.306861189512084
2017,A,0,FI_FSI_FSKA,,PT,20.926842339151023
2018,A,0,FI_FSI_FSKA,,PT,19.756225440753663
2019,A,0,FI_FSI_FSKA,,PT,20.053231803671288
2020,A,0,FI_FSI_FSKA,,PT,20.55033219885625
2021,A,0,FI_FSI_FSKA,,PT,22.244967410022003
2022,A,0,FI_FSI_FSKA,,PT,22.389065768406184
2023,A,0,FI_FSI_FSKA,,PT,24.040331060609525
2024,A,0,FI_FSI_FSKA,,PT,23.45
2015,A,0,FI_FSI_FSKNL,,PT,11.8
2016,A,0,FI_FSI_FSKNL,,PT,17.2
2017,A,0,FI_FSI_FSKNL,,PT,8.1
2018,A,0,FI_FSI_FSKNL,,PT,5.2
2019,A,0,FI_FSI_FSKNL,,PT,8.8
2020,A,0,FI_FSI_FSKNL,,PT,9.2
2021,A,0,FI_FSI_FSKNL,,PT,8.76
2022,A,0,FI_FSI_FSKNL,,PT,7.62
2023,A,0,FI_FSI_FSKNL,,PT,6.84
2024,A,0,FI_FSI_FSKNL,,PT,5.71
2015,A,0,FI_FSI_FSKRTC,,PT,18.6
2016,A,0,FI_FSI_FSKRTC,,PT,17.3
2017,A,0,FI_FSI_FSKRTC,,PT,20.9
2018,A,0,FI_FSI_FSKRTC,,PT,19.8
2019,A,0,FI_FSI_FSKRTC,,PT,20.1
2020,A,0,FI_FSI_FSKRTC,,PT,20.6
2021,A,0,FI_FSI_FSKRTC,,PT,22.24
2022,A,0,FI_FSI_FSKRTC,,PT,22.39
2023,A,0,FI_FSI_FSKRTC,,PT,24.04
2024,A,0,FI_FSI_FSKRTC,,PT,23.45
2015,A,0,FI_FSI_FSLS,,PT,50.0
2016,A,0,FI_FSI_FSLS,,PT,66.8
2017,A,0,FI_FSI_FSLS,,PT,55.4
2018,A,0,FI_FSI_FSLS,,PT,46.3
2019,A,0,FI_FSI_FSLS,,PT,49.0
2020,A,0,FI_FSI_FSLS,,PT,51.0
2021,A,0,FI_FSI_FSLS,,PT,48.76
2022,A,0,FI_FSI_FSLS,,PT,49.66
2023,A,0,FI_FSI_FSLS,,PT,52.24
2024,A,0,FI_FSI_FSLS,,PT,58.0
2015,A,0,FI_FSI_FSSNO,,PT,13.280068763075928
2016,A,0,FI_FSI_FSSNO,,PT,-7.4
2017,A,0,FI_FSI_FSSNO,,PT,-4.9
2018,A,0,FI_FSI_FSSNO,,PT,-6.9
2019,A,0,FI_FSI_FSSNO,,PT,-4.3
2020,A,0,FI_FSI_FSSNO,,PT,-5.6
2021,A,0,FI_FSI_FSSNO,,PT,5.41
2022,A,0,FI_FSI_FSSNO,,PT,-5.09
2023,A,0,FI_FSI_FSSNO,,PT,-1.57
2024,A,0,FI_FSI_FSSNO,,PT,-6.38
