Year,SERIES,Value
2015,GB_XPD_CUL_PBPV,42.7
2016,GB_XPD_CUL_PBPV,57.9
2017,GB_XPD_CUL_PBPV,67.7
2018,GB_XPD_CUL_PBPV,104.7
2019,GB_XPD_CUL_PBPV,78.2
2020,GB_XPD_CUL_PBPV,129.7
2021,GB_XPD_CUL_PBPV,119.5
2015,GB_XPD_CULNAT_PBPV,2.0
2016,GB_XPD_CULNAT_PBPV,2.7
2017,GB_XPD_CULNAT_PBPV,3.2
2018,GB_XPD_CULNAT_PBPV,3.9
2019,GB_XPD_CULNAT_PBPV,5.2
2020,GB_XPD_CULNAT_PBPV,9.9
2021,GB_XPD_CULNAT_PBPV,13.2
2015,GB_XPD_NAT_PBPV,47.1
2016,GB_XPD_NAT_PBPV,63.9
2017,GB_XPD_NAT_PBPV,74.9
2018,GB_XPD_NAT_PBPV,111.6
2019,GB_XPD_NAT_PBPV,86.2
2020,GB_XPD_NAT_PBPV,143.7
2021,GB_XPD_NAT_PBPV,138.1
