Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,Uganda Wildlife Authority - Administrative Data,ER_WLD_TRPOACH,,PT,0.4
2016,A,0,Uganda Wildlife Authority - Administrative Data,ER_WLD_TRPOACH,,PT,0.36
2017,A,0,Uganda Wildlife Authority - Administrative Data,ER_WLD_TRPOACH,,PT,0.25
2018,A,0,Uganda Wildlife Authority - Administrative Data,ER_WLD_TRPOACH,,PT,0.32
2019,A,0,Uganda Wildlife Authority - Administrative Data,ER_WLD_TRPOACH,,PT,0.33
2020,A,0,Uganda Wildlife Authority - Administrative Data,ER_WLD_TRPOACH,,PT,0.19
2021,A,0,Uganda Wildlife Authority - Administrative Data,ER_WLD_TRPOACH,,PT,0.38
2022,A,0,Uganda Wildlife Authority - Administrative Data,ER_WLD_TRPOACH,,PT,0.3
2023,A,0,Uganda Wildlife Authority - Administrative Data,ER_WLD_TRPOACH,,PT,0.3
2024,A,0,Uganda Wildlife Authority - Administrative Data,ER_WLD_TRPOACH,,PT,0.38
