Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,Administrative data from UPF,VC_IHR_PSRC,,,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,11.8
2016,A,0,Administrative data from UPF,VC_IHR_PSRC,,,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,19.4
2017,A,0,Administrative data from UPF,VC_IHR_PSRC,,,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,12.9
2018,A,0,Administrative data from UPF,VC_IHR_PSRC,,,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,12.2
2019,A,0,Administrative data from UPF,VC_IHR_PSRC,,,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,12.2
2020,A,0,Administrative data from UPF,VC_IHR_PSRC,,,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,12.5
2015,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,2.3
2016,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,12.1
2017,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,4.9
2018,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,4.6
2019,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,4.6
2020,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,5.5
2015,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,Y_GE18,,NUMBER,2020,188.0
2016,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,Y_GE18,,NUMBER,2020,733.0
2017,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,Y_GE18,,NUMBER,2020,738.0
2018,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,Y_GE18,,NUMBER,2020,674.0
2019,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,Y_GE18,,NUMBER,2020,717.0
2020,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,Y_GE18,,NUMBER,2020,723.0
2015,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,Y0T17,,NUMBER,2020,223.0
2016,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,Y0T17,,NUMBER,2020,1533.0
2017,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,Y0T17,,NUMBER,2020,213.0
2018,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,Y0T17,,NUMBER,2020,239.0
2019,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,Y0T17,,NUMBER,2020,234.0
2020,A,0,Administrative data from UPF,VC_IHR_PSRC,,F,Y0T17,,NUMBER,2020,440.0
2015,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,21.7
2016,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,27.1
2017,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,21.4
2018,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,20.2
2019,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,20.1
2020,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2020,19.7
2015,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,Y_GE18,,NUMBER,2020,3469.0
2016,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,Y_GE18,,NUMBER,2020,3273.0
2017,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,Y_GE18,,NUMBER,2020,3675.0
2018,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,Y_GE18,,NUMBER,2020,3546.0
2019,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,Y_GE18,,NUMBER,2020,3677.0
2020,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,Y_GE18,,NUMBER,2020,3438.0
2015,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,Y0T17,,NUMBER,2020,290.0
2016,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,Y0T17,,NUMBER,2020,1576.0
2017,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,Y0T17,,NUMBER,2020,279.0
2018,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,Y0T17,,NUMBER,2020,318.0
2019,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,Y0T17,,NUMBER,2020,294.0
2020,A,0,Administrative data from UPF,VC_IHR_PSRC,,M,Y0T17,,NUMBER,2020,582.0
