Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,Annual Crime Report,VC_HTF_DETVR,,PER_1000_POP,2019,0.977
2016,A,0,Annual Crime Report,VC_HTF_DETVR,,PER_1000_POP,2019,0.772
2017,A,0,Annual Crime Report,VC_HTF_DETVR,,PER_1000_POP,2019,0.885
2018,A,0,Annual Crime Report,VC_HTF_DETVR,,PER_1000_POP,2019,1.664
2019,A,0,Annual Crime Report,VC_HTF_DETVR,,PER_1000_POP,2019,1.129
2020,A,0,Annual Crime Report,VC_HTF_DETVR,,PER_1000_POP,2019,0.27
2021,A,0,Annual Crime Report,VC_HTF_DETVR,,PER_1000_POP,2019,0.84
2022,A,0,Annual Crime Report,VC_HTF_DETVR,,PER_1000_POP,2019,1.51
2023,A,0,Annual Crime Report,VC_HTF_DETVR,,PER_1000_POP,2019,1.09
2024,A,0,Annual Crime Report,VC_HTF_DETVR,,PER_1000_POP,2019,1.03
