Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
2010,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ACCOUNTABILITY,PT,,98.2
2011,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ACCOUNTABILITY,PT,,81.4
2012,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ACCOUNTABILITY,PT,,56.6
2013,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ACCOUNTABILITY,PT,,96.0
2014,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ACCOUNTABILITY,PT,,102.8
2015,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ACCOUNTABILITY,PT,,64.1
2016,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ACCOUNTABILITY,PT,,77.0
2017,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ACCOUNTABILITY,PT,,100.0
2018,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ACCOUNTABILITY,PT,,102.0
2019,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ACCOUNTABILITY,PT,,83.0
2020,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ACCOUNTABILITY,PT,,95.0
2021,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ACCOUNTABILITY,PT,,132.0
2022,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ACCOUNTABILITY,PT,,107.0
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ADMINISTRATION_OF_JUSTICE,PT,,91.1
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ADMINISTRATION_OF_JUSTICE,PT,,89.5
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ADMINISTRATION_OF_JUSTICE,PT,,96.4
2010,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRICULTURE,PT,,112.6
2011,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRICULTURE,PT,,97.3
2012,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRICULTURE,PT,,91.5
2013,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRICULTURE,PT,,89.0
2014,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRICULTURE,PT,,117.2
2015,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRICULTURE,PT,,109.9
2016,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRICULTURE,PT,,79.0
2017,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRICULTURE,PT,,84.0
2018,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRICULTURE,PT,,85.0
2019,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRICULTURE,PT,,82.0
2020,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRICULTURE,PT,,83.0
2021,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRICULTURE,PT,,67.0
2022,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRICULTURE,PT,,95.9
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRO_INDUSTRIALIZATION,PT,,91.3
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRO_INDUSTRIALIZATION,PT,,100.9
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_AGRO_INDUSTRIALIZATION,PT,,104.9
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_COMM_MOBILIZATION_AND_MINDSET_CHANGE,PT,,87.4
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_COMM_MOBILIZATION_AND_MINDSET_CHANGE,PT,,129.1
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_COMM_MOBILIZATION_AND_MINDSET_CHANGE,PT,,100.9
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_DEVELOPMENT_PLAN_IMPLEMENTATION,PT,,97.4
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_DEVELOPMENT_PLAN_IMPLEMENTATION,PT,,111.0
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_DEVELOPMENT_PLAN_IMPLEMENTATION,PT,,100.5
2023,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_DIGITAL_TRANSFORMATION,PT,,101.5
2024,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_DIGITAL_TRANSFORMATION,PT,,119.2
2025,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_DIGITAL_TRANSFORMATION,PT,,136.1
2010,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_EDUCATION,PT,,97.0
