Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2006,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,,PER_1000_LIVE_BIRTHS,71
2011,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,,PER_1000_LIVE_BIRTHS,54
2015,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,,PER_1000_LIVE_BIRTHS,43
2016,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,,PER_1000_LIVE_BIRTHS,43
2022,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,,PER_1000_LIVE_BIRTHS,36
2024,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,,PER_1000_LIVE_BIRTHS,34
2006,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,R,PER_1000_LIVE_BIRTHS,88
2011,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,R,PER_1000_LIVE_BIRTHS,66
2015,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,R,PER_1000_LIVE_BIRTHS,44
2016,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,R,PER_1000_LIVE_BIRTHS,44
2022,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,R,PER_1000_LIVE_BIRTHS,36
2006,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,U,PER_1000_LIVE_BIRTHS,68
2011,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,U,PER_1000_LIVE_BIRTHS,54
2015,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,U,PER_1000_LIVE_BIRTHS,39
2016,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,U,PER_1000_LIVE_BIRTHS,39
2022,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,,U,PER_1000_LIVE_BIRTHS,37
2006,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,F,,PER_1000_LIVE_BIRTHS,74
2011,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,F,,PER_1000_LIVE_BIRTHS,59
2015,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,F,,PER_1000_LIVE_BIRTHS,37
2016,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,F,,PER_1000_LIVE_BIRTHS,37
2022,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,F,,PER_1000_LIVE_BIRTHS,32
2024,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,F,,PER_1000_LIVE_BIRTHS,30
2006,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,M,,PER_1000_LIVE_BIRTHS,98
2011,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,M,,PER_1000_LIVE_BIRTHS,70
2015,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,M,,PER_1000_LIVE_BIRTHS,49
2016,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,M,,PER_1000_LIVE_BIRTHS,49
2022,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,M,,PER_1000_LIVE_BIRTHS,41
2024,A,0,Uganda Demographic Health Survey,SH_DYN_IMRT,,M,,PER_1000_LIVE_BIRTHS,37
2006,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,,PER_1000_LIVE_BIRTHS,128
2011,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,,PER_1000_LIVE_BIRTHS,90
2015,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,,PER_1000_LIVE_BIRTHS,64
2016,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,,PER_1000_LIVE_BIRTHS,64
2022,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,,PER_1000_LIVE_BIRTHS,52
2024,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,,PER_1000_LIVE_BIRTHS,46
2006,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,R,PER_1000_LIVE_BIRTHS,153
2011,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,R,PER_1000_LIVE_BIRTHS,111
2015,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,R,PER_1000_LIVE_BIRTHS,68
2016,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,R,PER_1000_LIVE_BIRTHS,68
2022,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,R,PER_1000_LIVE_BIRTHS,53
2006,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,U,PER_1000_LIVE_BIRTHS,114
2011,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,U,PER_1000_LIVE_BIRTHS,77
2015,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,U,PER_1000_LIVE_BIRTHS,52
2016,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,U,PER_1000_LIVE_BIRTHS,52
2022,A,0,Uganda Demographic Health Survey,SH_DYN_MORT,,,U,PER_1000_LIVE_BIRTHS,52
