Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2017,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,IHR_01,PT,50
2017,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,IHR_02,PT,53
2017,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,IHR_03,PT,60
2017,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,IHR_04,PT,76
2017,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,IHR_05,PT,82
2017,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,IHR_06,PT,71
2017,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,IHR_07,PT,60
2017,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,IHR_08,PT,100
2017,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,IHR_09,PT,0
2017,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,IHR_10,PT,56
2017,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,IHR_11,PT,20
2017,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,IHR_12,PT,62
2017,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,IHR_13,PT,69
2018,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_01,PT,47
2019,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_01,PT,53
2020,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_01,PT,73
2021,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_01,PT,73
2018,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_02,PT,50
2019,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_02,PT,50
2020,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_02,PT,60
2021,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_02,PT,60
2018,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_03,PT,40
2019,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_03,PT,40
2020,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_03,PT,60
2021,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_03,PT,60
2018,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_04,PT,20
2019,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_04,PT,40
2020,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_04,PT,40
2021,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_04,PT,40
2018,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_05,PT,87
2019,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_05,PT,87
2020,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_05,PT,93
2021,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_05,PT,93
2018,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_06,PT,80
2019,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_06,PT,80
2020,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_06,PT,80
2021,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_06,PT,80
2018,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_07,PT,80
2019,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_07,PT,80
2020,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_07,PT,80
2021,A,0,WORLD HEALTH ORGANISATION (WHO),SH_IHR_CAPS,,SPAR_07,PT,80
