Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_MATH,PT,71.7
2018,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_MATH,PT,55.2
2023,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_MATH,PT,57.5
2015,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_READ,PT,60.2
2018,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_READ,PT,49.9
2023,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_READ,PT,53.9
2015,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_MATH,PT,52.6
2018,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_MATH,PT,50.1
2023,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_MATH,PT,58.0
2015,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_READ,PT,51.9
2018,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_READ,PT,53.1
2023,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_READ,PT,42.7
2018,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P7,SKILL_MATH,PT,77.0
2019,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P7,SKILL_MATH,PT,84.9
2020,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P7,SKILL_MATH,PT,82.3
2018,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P7,SKILL_READ,PT,87.7
2019,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P7,SKILL_READ,PT,80.0
2020,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_P7,SKILL_READ,PT,87.5
2019,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,60.7
2020,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_S4,SKILL_MATH,PT,67.2
2019,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,77.2
2020,A,0,NAPE,SE_TOT_PRFL,,,_L_UG_S4,SKILL_READ,PT,78.1
2015,A,0,NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_MATH,PT,70.6
2018,A,0,NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_MATH,PT,56.1
2023,A,0,NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_MATH,PT,57.5
2015,A,0,NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_READ,PT,61.3
2018,A,0,NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_READ,PT,52.5
2023,A,0,NAPE,SE_TOT_PRFL,,F,_L_UG_P3,SKILL_READ,PT,57.4
2015,A,0,NAPE,SE_TOT_PRFL,,F,_L_UG_P6,SKILL_MATH,PT,48.2
2018,A,0,NAPE,SE_TOT_PRFL,,F,_L_UG_P6,SKILL_MATH,PT,45.9
2023,A,0,NAPE,SE_TOT_PRFL,,F,_L_UG_P6,SKILL_MATH,PT,54.7
2015,A,0,NAPE,SE_TOT_PRFL,,F,_L_UG_P6,SKILL_READ,PT,52.2
