Year,SEX,EDUCATION_LEV,Value
2016,,_L_UG_P7,61.5
2017,,_L_UG_P7,60.0
2018,,_L_UG_P7,62.8
2019,,_L_UG_P7,62.9
2020,,_L_UG_P7,67.2
2016,,_L_UG_S4,37.8
2017,,_L_UG_S4,34.8
2018,,_L_UG_S4,34.2
2019,,_L_UG_S4,33.6
2020,,_L_UG_S4,32.4
2016,F,_L_UG_P7,63.4
2017,F,_L_UG_P7,60.0
2018,F,_L_UG_P7,65.8
2019,F,_L_UG_P7,66.5
2020,F,_L_UG_P7,72.2
2016,F,_L_UG_S4,36.0
2017,F,_L_UG_S4,33.5
2018,F,_L_UG_S4,33.9
2019,F,_L_UG_S4,33.9
2020,F,_L_UG_S4,32.7
2016,M,_L_UG_P7,59.7
2017,M,_L_UG_P7,59.3
2018,M,_L_UG_P7,59.5
2019,M,_L_UG_P7,59.4
2020,M,_L_UG_P7,62.0
2016,M,_L_UG_S4,39.6
2017,M,_L_UG_S4,36.2
2018,M,_L_UG_S4,34.5
2019,M,_L_UG_S4,33.4
2020,M,_L_UG_S4,32.1
