Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,Value
2016,A,0,Ministry of Education and Sports,_L_UG_040C01_1,,AGG_0_1,PT,78.2
2017,A,0,Ministry of Education and Sports,_L_UG_040C01_1,,AGG_0_1,PT,79.6
2016,A,0,Ministry of Education and Sports,_L_UG_040C01_1,,AGG_GE2,PT,80.9
2017,A,0,Ministry of Education and Sports,_L_UG_040C01_1,,AGG_GE2,PT,83.5
2016,A,0,Ministry of Education and Sports,_L_UG_040C01_1,,ISCED97_0,PT,55.4
2017,A,0,Ministry of Education and Sports,_L_UG_040C01_1,,ISCED97_0,PT,60.0
2016,A,0,MoES,SE_TRA_GRDL,,ISCED11_02,PT,55.4
2017,A,0,MoES,SE_TRA_GRDL,,ISCED11_02,PT,60.0
2016,A,0,MoES,SE_TRA_GRDL,,ISCED11_2,PT,78.2
2017,A,0,MoES,SE_TRA_GRDL,,ISCED11_2,PT,79.6
2016,A,0,MoES,SE_TRA_GRDL,,ISCED11_3,PT,80.9
2017,A,0,MoES,SE_TRA_GRDL,,ISCED11_3,PT,83.5
