Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2018,A,0,AAS,SP_GNP_WNOWNS,,,_L_UG_TOT_C,PT,41.0
2018,A,0,AAS,SP_GNP_WNOWNS,,,_L_UG_TOT_F,PT,40.0
2018,A,0,AAS,SP_GNP_WNOWNS,,,_L_UG_TOT_M,PT,35.0
2018,A,0,AAS,SP_GNP_WNOWNS,,,_L_UG_TOT_N,PT,40.8
2019,A,0,AAS,SP_GNP_WNOWNS,,,_L_UG_TOT_N,PT,39.0
2018,A,0,AAS,SP_GNP_WNOWNS,,,_L_UG_TOT_P,PT,34.0
2018,A,0,AAS,SP_LGL_LNDAGSEC,,,,PT,48.7
2019,A,0,AAS,SP_LGL_LNDAGSEC,,,,PT,40.8
2018,A,0,AAS,SP_LGL_LNDAGSEC,,F,,PT,39.6
2019,A,0,AAS,SP_LGL_LNDAGSEC,,F,,PT,30.4
2018,A,0,AAS,SP_LGL_LNDAGSEC,,M,,PT,31.1
2019,A,0,AAS,SP_LGL_LNDAGSEC,,M,,PT,52.0
