Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_BANK_ACCOUNT,PT,28.8
2016,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_BANK_ACCOUNT,PT,31.8
2017,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_BANK_ACCOUNT,PT,44.0
2018,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_BANK_ACCOUNT,PT,53.8
2019,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_BANK_ACCOUNT,PT,63.9
2020,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_BANK_ACCOUNT,PT,76.1
2018,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_MOBILE_MONEY_ACCOUNT,PT,69.6
2019,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_MOBILE_MONEY_ACCOUNT,PT,79.9
2020,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_MOBILE_MONEY_ACCOUNT,PT,86.7
2015,A,0,SURVEY BY BANK OF UGANDA,FB_BNK_ACCSS,,Y_GE15,,PT,28.8
2016,A,0,SURVEY BY BANK OF UGANDA,FB_BNK_ACCSS,,Y_GE15,,PT,31.8
2017,A,0,SURVEY BY BANK OF UGANDA,FB_BNK_ACCSS,,Y_GE15,,PT,44.0
2018,A,0,SURVEY BY BANK OF UGANDA,FB_BNK_ACCSS,,Y_GE15,,PT,69.6
2019,A,0,SURVEY BY BANK OF UGANDA,FB_BNK_ACCSS,,Y_GE15,,PT,79.9
2020,A,0,SURVEY BY BANK OF UGANDA,FB_BNK_ACCSS,,Y_GE15,,PT,86.7
2021,A,0,SURVEY BY BANK OF UGANDA,FB_BNK_ACCSS,,Y_GE15,,PT,106.357
2022,A,0,SURVEY BY BANK OF UGANDA,FB_BNK_ACCSS,,Y_GE15,,PT,115.546
2023,A,0,SURVEY BY BANK OF UGANDA,FB_BNK_ACCSS,,Y_GE15,,PT,122.7963
2024,A,0,SURVEY BY BANK OF UGANDA,FB_BNK_ACCSS,,Y_GE15,,PT,136.0
