Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,OCCUPATION,UNIT_MEASURE,Value
2020,A,0,UNHS,SL_EMP_EARN,,,ISCO08_1,PT,6562
2020,A,0,UNHS,SL_EMP_EARN,,,ISCO08_2,PT,5319
2020,A,0,UNHS,SL_EMP_EARN,,,ISCO08_3,PT,4704
2020,A,0,UNHS,SL_EMP_EARN,,,ISCO08_4,PT,2859
2020,A,0,UNHS,SL_EMP_EARN,,F,ISCO08_1,PT,6983
2020,A,0,UNHS,SL_EMP_EARN,,F,ISCO08_2,PT,3822
2020,A,0,UNHS,SL_EMP_EARN,,F,ISCO08_3,PT,3542
2020,A,0,UNHS,SL_EMP_EARN,,F,ISCO08_4,PT,2500
2020,A,0,UNHS,SL_EMP_EARN,,M,ISCO08_1,PT,6460
2020,A,0,UNHS,SL_EMP_EARN,,M,ISCO08_2,PT,6082
2020,A,0,UNHS,SL_EMP_EARN,,M,ISCO08_3,PT,5406
2020,A,0,UNHS,SL_EMP_EARN,,M,ISCO08_4,PT,3197
