Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_AIR_CARGO,T_KM,54450.0
2016,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_AIR_CARGO,T_KM,59556.0
2017,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_AIR_CARGO,T_KM,69306.0
2018,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_AIR_CARGO,T_KM,63353.0
2019,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_AIR_CARGO,T_KM,64731.0
2020,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_AIR_CARGO,T_KM,58898.0
2021,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_AIR_CARGO,T_KM,53553.0
2016,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_RAILWAY_CARGO,T_KM,599847.0
2017,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_RAILWAY_CARGO,T_KM,355290.0
2018,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_RAILWAY_CARGO,T_KM,105723.0
2019,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_RAILWAY_CARGO,T_KM,193693.0
2020,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_RAILWAY_CARGO,T_KM,196935.0
2021,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_RAILWAY_CARGO,T_KM,390628.0
2017,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_WATER_CARGO,T_KM,755.4
2018,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_WATER_CARGO,T_KM,1186.4
2019,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_WATER_CARGO,T_KM,1845.6
2020,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_WATER_CARGO,T_KM,2110.1
2021,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,_L_UG_WATER_CARGO,T_KM,2834.7
2014,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,MOT_AIR,T,52842.0
2015,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,MOT_AIR,T,54450.0
2016,A,0,Administrative data from CAA and URC,IS_RDP_FRGVOL,,MOT_AIR,T,59556.0
