Year,SERIES,SEX,Value
2017,SI_COV_BENFTS,,2.0
2020,SI_COV_BENFTS,,7.5
2015,SI_COV_PENSN,,1.5
2016,SI_COV_PENSN,,1.9
2017,SI_COV_PENSN,,2.1
2018,SI_COV_PENSN,,2.0
2019,SI_COV_PENSN,,2.1
2020,SI_COV_PENSN,,2.5
2015,SI_COV_PENSN,F,1.7
2016,SI_COV_PENSN,F,2.5
2017,SI_COV_PENSN,F,2.5
2018,SI_COV_PENSN,F,2.5
2019,SI_COV_PENSN,F,2.4
2020,SI_COV_PENSN,F,2.8
2015,SI_COV_PENSN,M,1.2
2016,SI_COV_PENSN,M,1.2
2017,SI_COV_PENSN,M,1.7
2018,SI_COV_PENSN,M,1.4
2019,SI_COV_PENSN,M,1.6
2020,SI_COV_PENSN,M,1.8
2017,SI_COV_SOCINS,,5.0
2020,SI_COV_SOCINS,,7.5
2017,SI_COV_VULN,,0.5
2020,SI_COV_VULN,,0.7
