Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2010,A,0,UNHS,SP_ACS_BSRVH2O,,,,PT,74.0
2013,A,0,UNHS,SP_ACS_BSRVH2O,,,,PT,73.0
2017,A,0,UNHS,SP_ACS_BSRVH2O,,,,PT,80.0
2020,A,0,UNHS,SP_ACS_BSRVH2O,,,,PT,79.0
2024,A,0,UNHS,SP_ACS_BSRVH2O,,,,PT,70.9
2010,A,0,UNHS,SP_ACS_BSRVH2O,,,R,PT,70.7
2013,A,0,UNHS,SP_ACS_BSRVH2O,,,R,PT,67.7
2017,A,0,UNHS,SP_ACS_BSRVH2O,,,R,PT,74.9
2020,A,0,UNHS,SP_ACS_BSRVH2O,,,R,PT,75.0
2024,A,0,UNHS,SP_ACS_BSRVH2O,,,R,PT,65.8
2010,A,0,UNHS,SP_ACS_BSRVH2O,,,U,PT,93.5
2013,A,0,UNHS,SP_ACS_BSRVH2O,,,U,PT,87.3
2017,A,0,UNHS,SP_ACS_BSRVH2O,,,U,PT,92.3
2020,A,0,UNHS,SP_ACS_BSRVH2O,,,U,PT,91.0
2024,A,0,UNHS,SP_ACS_BSRVH2O,,,U,PT,79.6
2017,A,0,UNHS,SP_ACS_BSRVH2O,,F,,PT,82.0
2020,A,0,UNHS,SP_ACS_BSRVH2O,,F,,PT,80.1
2024,A,0,UNHS,SP_ACS_BSRVH2O,,F,,PT,71.2
2017,A,0,UNHS,SP_ACS_BSRVH2O,,M,,PT,78.9
2020,A,0,UNHS,SP_ACS_BSRVH2O,,M,,PT,77.5
2024,A,0,UNHS,SP_ACS_BSRVH2O,,M,,PT,70.7
2010,A,0,UNHS,SP_ACS_BSRVSAN,,,,PT,85.3
2013,A,0,UNHS,SP_ACS_BSRVSAN,,,,PT,90.3
2017,A,0,UNHS,SP_ACS_BSRVSAN,,,,PT,92.8
2020,A,0,UNHS,SP_ACS_BSRVSAN,,,,PT,95.0
2010,A,0,UNHS,SP_ACS_BSRVSAN,,,R,PT,98.7
2013,A,0,UNHS,SP_ACS_BSRVSAN,,,R,PT,95.9
2017,A,0,UNHS,SP_ACS_BSRVSAN,,,R,PT,90.7
2020,A,0,UNHS,SP_ACS_BSRVSAN,,,R,PT,97.0
2010,A,0,UNHS,SP_ACS_BSRVSAN,,,U,PT,89.7
2013,A,0,UNHS,SP_ACS_BSRVSAN,,,U,PT,88.2
2017,A,0,UNHS,SP_ACS_BSRVSAN,,,U,PT,98.0
2020,A,0,UNHS,SP_ACS_BSRVSAN,,,U,PT,91.0
2013,A,0,UNHS,SP_ACS_BSRVSAN,,F,,PT,87.6
2017,A,0,UNHS,SP_ACS_BSRVSAN,,F,,PT,91.5
2020,A,0,UNHS,SP_ACS_BSRVSAN,,F,,PT,91.0
2013,A,0,UNHS,SP_ACS_BSRVSAN,,M,,PT,91.3
2017,A,0,UNHS,SP_ACS_BSRVSAN,,M,,PT,93.3
2020,A,0,UNHS,SP_ACS_BSRVSAN,,M,,PT,94.0
