Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,FI_FSI_FSANL,,PT,5.3
2016,A,0,FI_FSI_FSANL,,PT,10.5
2017,A,0,FI_FSI_FSANL,,PT,5.6
2018,A,0,FI_FSI_FSANL,,PT,3.4
2019,A,0,FI_FSI_FSANL,,PT,4.9
2020,A,0,FI_FSI_FSANL,,PT,5.3
2015,A,0,FI_FSI_FSERA,,PT,2.6
2016,A,0,FI_FSI_FSERA,,PT,1.3
2017,A,0,FI_FSI_FSERA,,PT,2.7
2018,A,0,FI_FSI_FSERA,,PT,2.5
2019,A,0,FI_FSI_FSERA,,PT,2.9
2020,A,0,FI_FSI_FSERA,,PT,2.4
2015,A,0,FI_FSI_FSKA,,PT,13.0
2016,A,0,FI_FSI_FSKA,,PT,11.7
2017,A,0,FI_FSI_FSKA,,PT,13.8
2018,A,0,FI_FSI_FSKA,,PT,13.9
2019,A,0,FI_FSI_FSKA,,PT,13.7
2020,A,0,FI_FSI_FSKA,,PT,13.4
2015,A,0,FI_FSI_FSKNL,,PT,11.8
2016,A,0,FI_FSI_FSKNL,,PT,17.2
2017,A,0,FI_FSI_FSKNL,,PT,8.1
2018,A,0,FI_FSI_FSKNL,,PT,5.2
2019,A,0,FI_FSI_FSKNL,,PT,8.8
2020,A,0,FI_FSI_FSKNL,,PT,9.2
2015,A,0,FI_FSI_FSKRTC,,PT,18.6
2016,A,0,FI_FSI_FSKRTC,,PT,17.3
2017,A,0,FI_FSI_FSKRTC,,PT,20.9
2018,A,0,FI_FSI_FSKRTC,,PT,19.8
2019,A,0,FI_FSI_FSKRTC,,PT,20.1
2020,A,0,FI_FSI_FSKRTC,,PT,20.6
2015,A,0,FI_FSI_FSLS,,PT,50.0
2016,A,0,FI_FSI_FSLS,,PT,66.8
2017,A,0,FI_FSI_FSLS,,PT,55.4
2018,A,0,FI_FSI_FSLS,,PT,46.3
2019,A,0,FI_FSI_FSLS,,PT,49.0
2020,A,0,FI_FSI_FSLS,,PT,51.0
2015,A,0,FI_FSI_FSSNO,,PT,7.7
2016,A,0,FI_FSI_FSSNO,,PT,-7.4
2017,A,0,FI_FSI_FSSNO,,PT,-4.9
2018,A,0,FI_FSI_FSSNO,,PT,-6.9
2019,A,0,FI_FSI_FSSNO,,PT,-4.3
2020,A,0,FI_FSI_FSSNO,,PT,-5.6
