Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,Value
2015,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,,PT,59.6
2016,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,,PT,79.9
2017,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,,PT,85.7
2018,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,,PT,86.4
2019,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,,PT,84.1
2020,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,,PT,70.3
2021,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,,PT,65.2332
2022,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,,PT,73.1229
2023,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,,PT,67.74629
2015,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_AGR,PT,62.8
2016,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_AGR,PT,77.2
2017,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_AGR,PT,82.5
2018,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_AGR,PT,82.6
2019,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_AGR,PT,83.0
2020,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_AGR,PT,71.8
2021,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_AGR,PT,69.2908
2022,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_AGR,PT,72.3307
2023,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_AGR,PT,71.71183
2015,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_ARMS,PT,100.0
2016,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_ARMS,PT,100.0
2019,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_ARMS,PT,100.0
2021,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_ARMS,PT,100.0
2022,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_ARMS,PT,100.0
2015,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_CLTH,PT,55.8
2016,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_CLTH,PT,81.6
2017,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_CLTH,PT,84.7
2018,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_CLTH,PT,86.6
2019,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_CLTH,PT,79.1
2020,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_CLTH,PT,67.5
2021,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_CLTH,PT,67.4419
2022,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_CLTH,PT,68.3128
2023,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_CLTH,PT,55.17241
2015,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_IND,PT,59.3
2016,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_IND,PT,80.3
2017,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_IND,PT,87.0
2018,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_IND,PT,87.9
2019,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_IND,PT,84.6
2020,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_IND,PT,69.7
2021,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_IND,PT,63.5982
2022,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_IND,PT,73.6509
2023,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_IND,PT,67.0773
2015,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_OIL,PT,50.0
2016,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_OIL,PT,100.0
2017,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_OIL,PT,100.0
2018,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_OIL,PT,100.0
2015,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_TXT,PT,50.5
2016,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_TXT,PT,88.7
2017,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_TXT,PT,86.3
2018,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_TXT,PT,86.4
2019,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_TXT,PT,87.4
2020,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_TXT,PT,73.3
2021,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_TXT,PT,60.4348
2022,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_TXT,PT,74.4027
2023,A,0,ITC/UNCTAD/WTO database,_L_UG_100A01_1,,AGG_TXT,PT,62.33184
