Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2009,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,727512594.894863
2010,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,814260746.800763
2011,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,778844772.174946
2012,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,1010413166.040227
2013,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,963573769.380951
2014,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,809551952.744961
2015,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,817460531.775946
2016,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,1270602838.522144
2017,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,1204262357.390995
2018,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,1519525126.578338
2019,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,1541140526.585084
2020,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,2370153938.168936
2021,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,2300754928.392968
2022,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,1997969765.24478
2023,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,2292599953.910442
2024,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,1230662468.219426
2025,A,0,Ministry of Finance and Economic Development,DC_TRF_TFDV,,USD,1529062348.9
