Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,A,0,International Energy Agency,EG_EGY_RNEW,,,W_PER_CAPITA,20.83336
2016,A,0,International Energy Agency,EG_EGY_RNEW,,,W_PER_CAPITA,20.20606
2017,A,0,International Energy Agency,EG_EGY_RNEW,,,W_PER_CAPITA,20.59534
2018,A,0,International Energy Agency,EG_EGY_RNEW,,,W_PER_CAPITA,21.83854
2019,A,0,International Energy Agency,EG_EGY_RNEW,,,W_PER_CAPITA,27.4023
2020,A,0,International Energy Agency,EG_EGY_RNEW,,,W_PER_CAPITA,26.89187
2021,A,0,International Energy Agency,EG_EGY_RNEW,,,W_PER_CAPITA,26.08481
2022,A,0,International Energy Agency,EG_EGY_RNEW,,,W_PER_CAPITA,25.86066
2023,A,0,International Energy Agency,EG_EGY_RNEW,,,W_PER_CAPITA,25.14968
2015,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_BIOENERGY,W_PER_CAPITA,1.687
2016,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_BIOENERGY,W_PER_CAPITA,1.627
2017,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_BIOENERGY,W_PER_CAPITA,1.856
2018,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_BIOENERGY,W_PER_CAPITA,2.251
2019,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_BIOENERGY,W_PER_CAPITA,2.173
2020,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_BIOENERGY,W_PER_CAPITA,2.103
2021,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_BIOENERGY,W_PER_CAPITA,2.09536
2022,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_BIOENERGY,W_PER_CAPITA,2.03328
2023,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_BIOENERGY,W_PER_CAPITA,1.97712
2015,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_HYDROPOWER,W_PER_CAPITA,18.182
2016,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_HYDROPOWER,W_PER_CAPITA,17.529
2017,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_HYDROPOWER,W_PER_CAPITA,17.169
2018,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_HYDROPOWER,W_PER_CAPITA,17.409
2019,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_HYDROPOWER,W_PER_CAPITA,22.681
2020,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_HYDROPOWER,W_PER_CAPITA,22.094
2021,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_HYDROPOWER,W_PER_CAPITA,22.01885
2022,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_HYDROPOWER,W_PER_CAPITA,21.82724
2023,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_HYDROPOWER,W_PER_CAPITA,21.22438
2015,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_SOLAR,W_PER_CAPITA,0.576
2016,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_SOLAR,W_PER_CAPITA,0.605
2017,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_SOLAR,W_PER_CAPITA,1.059
2018,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_SOLAR,W_PER_CAPITA,1.564
2019,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_SOLAR,W_PER_CAPITA,1.738
2020,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_SOLAR,W_PER_CAPITA,1.69
2021,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_SOLAR,W_PER_CAPITA,1.9706
2022,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_SOLAR,W_PER_CAPITA,2.00014
2023,A,0,International Energy Agency,EG_EGY_RNEW,,TRT_SOLAR,W_PER_CAPITA,1.94818
