Year,SEX,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,11.8
2016,,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,19.4
2017,,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,12.9
2018,,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,12.2
2019,,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,12.2
2020,,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,12.5
2015,F,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,2.3
2016,F,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,12.1
2017,F,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,4.9
2018,F,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,4.6
2019,F,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,4.6
2020,F,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,5.5
2015,F,Y_GE18,,NUMBER,188.0
2016,F,Y_GE18,,NUMBER,733.0
2017,F,Y_GE18,,NUMBER,738.0
2018,F,Y_GE18,,NUMBER,674.0
2019,F,Y_GE18,,NUMBER,717.0
2020,F,Y_GE18,,NUMBER,723.0
2015,F,Y0T17,,NUMBER,223.0
2016,F,Y0T17,,NUMBER,1533.0
2017,F,Y0T17,,NUMBER,213.0
2018,F,Y0T17,,NUMBER,239.0
2019,F,Y0T17,,NUMBER,234.0
2020,F,Y0T17,,NUMBER,440.0
2015,M,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,21.7
2016,M,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,27.1
2017,M,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,21.4
2018,M,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,20.2
2019,M,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,20.1
2020,M,,_L_UG_NUMBER_PER_1000_POP,PER_100000_POP,19.7
2015,M,Y_GE18,,NUMBER,3469.0
2016,M,Y_GE18,,NUMBER,3273.0
2017,M,Y_GE18,,NUMBER,3675.0
2018,M,Y_GE18,,NUMBER,3546.0
2019,M,Y_GE18,,NUMBER,3677.0
2020,M,Y_GE18,,NUMBER,3438.0
2015,M,Y0T17,,NUMBER,290.0
2016,M,Y0T17,,NUMBER,1576.0
2017,M,Y0T17,,NUMBER,279.0
2018,M,Y0T17,,NUMBER,318.0
2019,M,Y0T17,,NUMBER,294.0
2020,M,Y0T17,,NUMBER,582.0
