Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2020,A,0,Uganda Police Force,VC_HTF_DETV,,NUMBER,,41583600.0
2021,A,0,Uganda Police Force,VC_HTF_DETV,,NUMBER,,42885900.0
2022,A,0,Uganda Police Force,VC_HTF_DETV,,NUMBER,,44212800.0
2023,A,0,Uganda Police Force,VC_HTF_DETV,,NUMBER,,45562000.0
2024,A,0,Uganda Police Force,VC_HTF_DETV,,NUMBER,,45935046.0
2015,A,0,Uganda Police Force,VC_HTF_DETVR,,PER_100000_POP,2019,0.977
2016,A,0,Uganda Police Force,VC_HTF_DETVR,,PER_100000_POP,2019,0.772
2017,A,0,Uganda Police Force,VC_HTF_DETVR,,PER_100000_POP,2019,0.885
2018,A,0,Uganda Police Force,VC_HTF_DETVR,,PER_100000_POP,2019,1.664
2019,A,0,Uganda Police Force,VC_HTF_DETVR,,PER_100000_POP,2019,1.129
2020,A,0,Uganda Police Force,VC_HTF_DETVR,,PER_100000_POP,2019,0.27174174
2021,A,0,Uganda Police Force,VC_HTF_DETVR,,PER_100000_POP,2019,0.84410028
2022,A,0,Uganda Police Force,VC_HTF_DETVR,,PER_100000_POP,2019,1.51087468
2023,A,0,Uganda Police Force,VC_HTF_DETVR,,PER_100000_POP,2019,1.08862649
2024,A,0,Uganda Police Force,VC_HTF_DETVR,,PER_100000_POP,2019,1.0253609
2020,A,0,Uganda Police Force,VC_VAW_DIST,,NUMBER,,113.0
2021,A,0,Uganda Police Force,VC_VAW_DIST,,NUMBER,,362.0
2022,A,0,Uganda Police Force,VC_VAW_DIST,,NUMBER,,668.0
2023,A,0,Uganda Police Force,VC_VAW_DIST,,NUMBER,,496.0
2024,A,0,Uganda Police Force,VC_VAW_DIST,,NUMBER,,471.0
