Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
2016,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_ACCOUNTABILITY,PT,2021,77
2017,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_ACCOUNTABILITY,PT,2021,100
2018,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_ACCOUNTABILITY,PT,2021,102
2019,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_ACCOUNTABILITY,PT,2021,83
2020,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_ACCOUNTABILITY,PT,2021,95
2021,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_ACCOUNTABILITY,PT,2021,132
2016,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_AGRICULTURE,PT,2021,79
2017,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_AGRICULTURE,PT,2021,84
2018,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_AGRICULTURE,PT,2021,85
2019,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_AGRICULTURE,PT,2021,82
2020,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_AGRICULTURE,PT,2021,83
2021,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_AGRICULTURE,PT,2021,67
2016,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_EDUCATION,PT,2021,83
2017,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_EDUCATION,PT,2021,80
2018,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_EDUCATION,PT,2021,81
2019,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_EDUCATION,PT,2021,86
2020,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_EDUCATION,PT,2021,93
2021,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_EDUCATION,PT,2021,91
2016,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,2021,18
2017,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,2021,25
2018,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,2021,33
2019,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,2021,47
2020,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,2021,32
2021,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,2021,38
2016,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_HEALTH,PT,2021,81
2017,A,0,Administrative data from MOFPED,GF_XPD_GBPC,,_L_UG_HEALTH,PT,2021,61
