Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,Balance of Payments statistics compiled by BOU,DT_TDS_DECT,,PT,3.0
2016,A,0,Balance of Payments statistics compiled by BOU,DT_TDS_DECT,,PT,3.1
2017,A,0,Balance of Payments statistics compiled by BOU,DT_TDS_DECT,,PT,4.8
2018,A,0,Balance of Payments statistics compiled by BOU,DT_TDS_DECT,,PT,6.0
2019,A,0,Balance of Payments statistics compiled by BOU,DT_TDS_DECT,,PT,5.4
2020,A,0,Balance of Payments statistics compiled by BOU,DT_TDS_DECT,,PT,6.4
2021,A,0,Balance of Payments statistics compiled by BOU,DT_TDS_DECT,,PT,8.4
2022,A,0,Balance of Payments statistics compiled by BOU,DT_TDS_DECT,,PT,11.8
2023,A,0,Balance of Payments statistics compiled by BOU,DT_TDS_DECT,,PT,10.4
2024,A,0,Balance of Payments statistics compiled by BOU,DT_TDS_DECT,,PT,10.5
